route,global_solution_id,source_run,source_solution_id,status,stored_peak_kw,replay_peak_kw,delta_peak_kw,stored_lcoe_usd_kwh,replay_lcoe_usd_kwh,delta_lcoe_usd_kwh,replay_valid,solve_time_sec
H2,44,cold_start_20260830_174912,20,OPTIMAL,416.2476001141024,416.2476001141024,0.0,0.1607414032066769,0.16074140320667693,2.7755575615628914e-17,True,12.582999999999984
H2,45,cold_start_20260830_174912,21,OPTIMAL,416.708559535566,416.708559535566,0.0,0.1603264142720194,0.16032641427201946,5.551115123125783e-17,True,12.217999999999993
H2,46,cold_start_20260830_174912,22,OPTIMAL,417.6075019108348,417.6075019108348,0.0,0.159091688582614,0.159091688582614,0.0,True,12.829999999999991
H2,47,cold_start_20260830_174912,23,OPTIMAL,420.2040016631363,420.2040016631363,0.0,0.1581494497185158,0.15814944971851586,5.551115123125783e-17,True,12.534999999999993
H2,48,cold_start_20260830_174912,24,OPTIMAL,422.3718753759081,422.3718753759081,0.0,0.1568482658880926,0.15684826588809264,5.551115123125783e-17,True,12.239999999999993
H2,49,cold_start_20260830_174912,25,OPTIMAL,424.2476001141024,424.2476001141024,0.0,0.1558592571612314,0.15585925716123147,8.326672684688674e-17,True,12.507
H2,50,cold_start_20260830_174912,26,OPTIMAL,428.9476228014519,428.94762280145187,-5.684341886080802e-14,0.1543380188643187,0.15433801886431872,2.7755575615628914e-17,True,11.899999999999995
H2,51,cold_start_20260830_174912,27,OPTIMAL,431.2476001141024,431.2476001141024,0.0,0.1540310924193837,0.15403109241938376,5.551115123125783e-17,True,12.193
H2,52,cold_start_20260830_174912,28,OPTIMAL,435.2476001141024,435.2476001141024,0.0,0.153152435855222,0.15315243585522206,5.551115123125783e-17,True,11.882999999999983
H2,53,cold_start_20260830_174912,29,OPTIMAL,436.8806710097879,436.8806710097879,0.0,0.1529465479376509,0.15294654793765097,8.326672684688674e-17,True,12.141999999999976
H2,54,cold_start_20260830_174912,30,OPTIMAL,438.2476001141024,438.2476001141024,0.0,0.1514607160103072,0.15146071601030728,8.326672684688674e-17,True,11.807999999999987
H2,55,cold_start_20260830_174912,31,OPTIMAL,442.35360330039424,442.35360330039424,0.0,0.1507531692177357,0.1507531692177357,0.0,True,12.345999999999991
H2,56,cold_start_20260830_174912,32,OPTIMAL,443.8201519946388,443.82015199463876,-5.684341886080802e-14,0.1481620181154153,0.14816201811541538,8.326672684688674e-17,True,13.387999999999979
H2,57,cold_start_20260830_174912,33,OPTIMAL,457.2476001141024,457.2476001141024,0.0,0.1462597824230723,0.14625978242307236,5.551115123125783e-17,True,9.536999999999983
H2,58,cold_start_20260830_174912,34,OPTIMAL,459.2476001141024,459.2476001141024,0.0,0.1457608918658615,0.14576089186586152,2.7755575615628914e-17,True,13.207000000000004
H2,59,cold_start_20260830_174912,35,OPTIMAL,464.2476001141024,464.2476001141024,0.0,0.1428990508278387,0.14289905082783871,2.7755575615628914e-17,True,13.771999999999991
H2,60,cold_start_20260830_174912,36,OPTIMAL,466.2476001141024,466.2476001141024,0.0,0.1422749667151897,0.14227496671518972,2.7755575615628914e-17,True,9.77799999999998
B1,0,seed42,0,OPTIMAL,410.4523135750388,410.45231357503883,5.684341886080802e-14,0.1896951589458584,0.18969515894585845,5.551115123125783e-17,True,8.934999999999985
B1,1,seed42,1,OPTIMAL,410.89810198526726,410.89810198526726,0.0,0.1896638543215509,0.18966385432155097,8.326672684688674e-17,True,10.004999999999988
B1,2,seed42,2,OPTIMAL,411.3515545949132,411.3515545949132,0.0,0.1896327739858213,0.18963277398582132,2.7755575615628914e-17,True,8.648999999999981
B1,3,seed42,3,OPTIMAL,415.8640348984492,415.8640348984492,0.0,0.1889148842379263,0.1889148842379263,0.0,True,8.498000000000001
B1,4,seed42,4,OPTIMAL,417.2476001141025,417.2476001141025,0.0,0.1880357124302613,0.18803571243026138,8.326672684688674e-17,True,7.412000000000004
B1,5,seed42,5,OPTIMAL,417.7717201674743,417.77172016747426,-5.684341886080802e-14,0.1874495245897559,0.18744952458975594,5.551115123125783e-17,True,7.474999999999987
