peak_budget_kw,h2_best_lcoe_usd_kwh,h2_actual_peak_kw,h2_global_solution_id,b1_best_lcoe_usd_kwh,b1_actual_peak_kw,b1_source_run,b1_source_solution_id,h2_lcoe_advantage_usd_kwh,h2_lcoe_advantage_percent
458.0,0.1462597824230723,457.2476001141024,57,0.1682453963728939,457.8096680508502,seed43,14,0.021985613949821597,13.067587240897433
459.0,0.1462597824230723,457.2476001141024,57,0.1682453963728939,457.8096680508502,seed43,14,0.021985613949821597,13.067587240897433
460.0,0.1457608918658615,459.2476001141024,58,0.1682453963728939,457.8096680508502,seed43,14,0.022484504507032405,13.36411277322468
461.0,0.1457608918658615,459.2476001141024,58,0.1682453963728939,457.8096680508502,seed43,14,0.022484504507032405,13.36411277322468
462.0,0.1457608918658615,459.2476001141024,58,0.167261545367826,461.13987986295103,seed43,15,0.021500653501964506,12.854510852857585
463.0,0.1457608918658615,459.2476001141024,58,0.166196214672857,462.5668151816717,seed42,23,0.020435322806995504,12.295901472377507
464.0,0.1457608918658615,459.2476001141024,58,0.166196214672857,462.5668151816717,seed42,23,0.020435322806995504,12.295901472377507
465.0,0.1428990508278387,464.2476001141024,59,0.166196214672857,462.5668151816717,seed42,23,0.023297163845018315,14.01786670705875
466.0,0.1428990508278387,464.2476001141024,59,0.166196214672857,462.5668151816717,seed42,23,0.023297163845018315,14.01786670705875
467.0,0.1422749667151897,466.2476001141024,60,0.166196214672857,462.5668151816717,seed42,23,0.023921247957667313,14.393377132417992
468.0,0.1422749667151897,466.2476001141024,60,0.166196214672857,462.5668151816717,seed42,23,0.023921247957667313,14.393377132417992
469.0,0.1422749667151897,466.2476001141024,60,0.1426389278527557,468.2476001141024,seed43,16,0.0003639611375660101,0.2551625583877933
