solution_id,pv_kw,bsv_kwh,electrolyzer_kw,h2_tank_kg,fuelcell_kw,lcoe_usd_kwh,rank,crowding_distance,milp_status,solve_time_sec,capex_total_usd,annualized_capex_usd,fixed_opex_annual_usd,variable_h2_opex_annual_usd,degradation_opex_annual_usd,grid_opex_annual_usd,grid_peak_opex_annual_usd,E_grid_total_kwh,E_load_total_kwh,E_grid_peak_opt_kwh,E_grid_peak_ref_kwh,R_peak_percent,P_peak_grid_opt_kw,P_peak_grid_ref_kw,Peak_reduction_percent,peak_grid_dependency_ratio,peak_grid_dependency_percent,total_grid_dependency_ratio,grid_dependency_objective,E_grid_peak_opt_kWh,E_grid_peak_ref_kWh
10,977.0,6000.0,0.0,0.0,0.0,0.13546919618355058,0,0.10173332907667976,OPTIMAL,8.437999999999986,2297000.0,192680.38834951457,36170.0,0.0,0.0,78406.75973455783,2.4499513529008254e-11,522711.73156371876,2268096.0450061434,4.899902705801651e-11,325732.2452614388,99.99999999999999,298.0475678918684,474.8149521321564,37.228689502408066,1.5042731498285956e-16,1.5042731498285955e-14,0.23046278516935687,0.034569417775403684,4.899902705801651e-11,325732.2452614388
11,962.0,6000.0,0.0,0.0,0.0,0.13488913113365109,0,0.11070440554772461,OPTIMAL,8.463999999999988,2282000.0,191422.13592233008,36020.0,0.0,0.0,78499.36891621898,2.3149482331064064e-11,523329.1261081265,2268096.0450061434,4.629896466212813e-11,325732.2452614388,99.99999999999999,298.5722433538913,474.8149521321564,37.118188462020264,1.421381067906486e-16,1.421381067906486e-14,0.23073499345866944,0.034610249018800554,4.629896466212813e-11,325732.2452614388
12,933.0,6000.0,0.0,0.0,0.0,0.13377976079244566,0,0.11969096115170796,OPTIMAL,14.251999999999999,2253000.0,188989.5145631068,35730.0,0.0,0.0,78705.83179210719,2.3447910280083306e-11,524705.5452807145,2268096.0450061434,4.689582056016661e-11,325732.2452614388,99.99999999999999,299.5866159138059,474.8149521321564,36.904553117269735,1.4397045807524261e-16,1.4397045807524262e-14,0.23134185451978656,0.03470127817796813,4.689582056016661e-11,325732.2452614388
13,914.0,6000.0,0.0,0.0,0.0,0.13306395841505297,0,0.07361596303180126,OPTIMAL,8.252999999999988,2234000.0,187395.7281553398,35540.0,0.0,0.0,78866.10965870376,2.0691004465334117e-11,525774.0643913583,2268096.0450061434,4.1382008930668235e-11,325732.2452614388,99.99999999999999,300.2512048323715,474.8149521321564,36.76458513277782,1.270430223985171e-16,1.270430223985171e-14,0.23181296292500442,0.034771944438750785,4.1382008930668235e-11,325732.2452614388
14,904.0,5992.0,0.0,0.0,0.0,0.13271237939312827,0,0.12716188617013438,OPTIMAL,15.784000000000002,2222240.0,186409.2582524272,35404.8,0.0,0.0,79190.36457248182,1.8204104890173767e-11,527935.7638165454,2268096.0450061434,3.6408209780347534e-11,325732.2452614388,99.99999999999999,301.20789791456554,474.8149521321564,36.563097568433435,1.117734283602338e-16,1.117734283602338e-14,0.23276605282168084,0.034914907923252234,3.6408209780347534e-11,325732.2452614388
15,862.0,5997.0,0.0,0.0,0.0,0.13114949307649917,0,0.1085236264268507,OPTIMAL,15.301000000000005,2181340.0,182978.42330097087,35006.8,0.0,0.0,79474.4232503975,1.793409865058493e-11,529829.4883359832,2268096.0450061434,3.586819730116986e-11,325732.2452614388,99.99999999999999,302.2976708077059,474.8149521321564,36.33358228290026,1.1011558672179162e-16,1.1011558672179162e-14,0.23360099300140005,0.03504014895021012,3.586819730116986e-11,325732.2452614388
16,859.0,5994.0,0.0,0.0,0.0,0.13104812044371067,0,0.08048851906850109,OPTIMAL,15.652999999999993,2177680.0,182671.40970873786,34963.600000000006,0.0,0.0,79594.71397513102,1.992361831071321e-11,530631.4265008734,2268096.0450061434,3.984723662142642e-11,325732.2452614388,99.99999999999999,302.6301969404285,474.8149521321564,36.263549498290296,1.2233126195241827e-16,1.2233126195241827e-14,0.23395456628444328,0.03509318494266662,3.984723662142642e-11,325732.2452614388
17,828.0,6000.0,0.0,0.0,0.0,0.12990642652962447,0,0.0772436326839611,OPTIMAL,13.509000000000015,2148000.0,180181.74757281554,34680.0,0.0,0.0,79778.50465990687,2.013678113144124e-11,531856.6977327125,2268096.0450061434,4.027356226288248e-11,325732.2452614388,99.99999999999999,303.2593441479785,474.8149521321564,36.1310458345525,1.2364008429855682e-16,1.2364008429855682e-14,0.234494786454809,0.035174217968221476,4.027356226288248e-11,325732.2452614388
18,826.0,6000.0,0.0,0.0,0.0,0.12983418411705083,0,0.059897020967874456,OPTIMAL,15.430999999999989,2146000.0,180013.98058252427,34660.0,0.0,0.0,79802.41891995817,2.1103119252074976e-11,532016.1261330543,2268096.0450061434,4.220623850414995e-11,325732.2452614388,99.99999999999999,303.3293008762697,474.8149521321564,36.11631236249626,1.2957341226771833e-16,1.2957341226771833e-14,0.23456507818724812,0.03518476172808735,4.220623850414995e-11,325732.2452614388
19,803.0,5998.0,0.0,0.0,0.0,0.1290108415267487,0,0.07825117687418891,OPTIMAL,14.228999999999996,2122560.0,178047.75145631068,34421.2,0.0,0.0,80140.02797342233,2.0094148567295633e-11,534266.8531561487,2268096.0450061434,4.0188297134591267e-11,325732.2452614388,99.99999999999999,304.2892549653629,474.8149521321564,35.914138002825716,1.233783198293291e-16,1.233783198293291e-14,0.23555742021264428,0.03533361303189676,4.0188297134591267e-11,325732.2452614388
