b1_source_run,b1_source_solution_id,h2_global_solution_id,h2_source_run,h2_source_solution_id,n_h2_dominators,objective_distance,b1_lcoe_usd_kwh,h2_lcoe_usd_kwh,delta_lcoe_b1_minus_h2_usd_kwh,b1_peak_kw,h2_peak_kw,delta_peak_b1_minus_h2_kw,b1_annualized_capex_usd,h2_annualized_capex_usd,delta_capex_ann_b1_minus_h2_usd,b1_fixed_opex_usd,h2_fixed_opex_usd,delta_fixed_b1_minus_h2_usd,b1_grid_opex_usd,h2_grid_opex_usd,delta_grid_b1_minus_h2_usd,b1_dispatchable_opex_usd,h2_dispatchable_opex_usd,delta_dispatchable_b1_minus_h2_usd,b1_degradation_opex_usd,h2_degradation_opex_usd,delta_degradation_b1_minus_h2_usd,b1_total_annual_cost_usd,h2_total_annual_cost_usd,delta_total_b1_minus_h2_usd,h2_total_cost_advantage_percent,b1_lcoe_reconstructed,h2_lcoe_reconstructed,b1_lcoe_reconstruction_error,h2_lcoe_reconstruction_error,b1_E_grid_kwh,h2_E_grid_kwh,delta_E_grid_b1_minus_h2_kwh,b1_grid_dependency_ratio,h2_grid_dependency_ratio,delta_grid_dependency_pp,b1_pv_kw,h2_pv_kw,delta_pv_h2_minus_b1_kw,b1_bsv_kwh,h2_bsv_kwh,delta_bsv_h2_minus_b1_kwh,b1_chp_kw,b1_biomethane_storage_nm3,h2_fuelcell_kw,h2_electrolyzer_kw,h2_tank_kg
seed43,3,35,cold_start_20260830_174912,11,43,0.4582270492414174,0.1817663688987137,0.1662783368718746,0.0154880320268391,443.888325495238,403.2476001141024,40.64072538113561,38059.31857536433,172843.19837288657,-134783.87979752224,2995.92,27487.0,-24491.08,365043.2594798671,169743.4889242261,195299.770555641,6165.084359068818,7061.550932185366,-896.4665731165478,0.0,0.0,0.0,412263.5824143003,377135.23822929803,35128.344185002265,8.520845809198924,0.18176636889871373,0.16627833687187463,2.7755575615628914e-17,2.7755575615628914e-17,1798964.0845697438,1129105.8245040884,669858.2600656555,0.7931604521469333,0.4978209926295383,29.533945951739504,208.0,683.0,475.0,136.0,1485.0,1349.0,25.0,196.0,65.0,278.0,78.0
seed43,4,35,cold_start_20260830_174912,11,43,0.4614011468084031,0.1817269387936106,0.1662783368718746,0.015448601921736,444.4525024531778,403.2476001141024,41.204902339075375,37979.87385248227,172843.19837288657,-134863.3245204043,2990.32,27487.0,-24496.68,365056.7280667253,169743.4889242261,195313.2391424992,6147.229229654244,7061.550932185366,-914.3217025311224,0.0,0.0,0.0,412174.1511488618,377135.23822929803,35038.912919563765,8.50099716876933,0.18172693879361065,0.16627833687187463,5.551115123125783e-17,2.7755575615628914e-17,1799505.1672615218,1129105.8245040884,670399.3427574334,0.7933990146597375,0.4978209926295383,29.55780220301992,207.0,683.0,476.0,137.0,1485.0,1348.0,25.0,196.0,65.0,278.0,78.0
seed43,5,35,cold_start_20260830_174912,11,43,0.4649348491927526,0.1816927970705297,0.1662783368718746,0.015414460198655111,445.0569792098141,403.2476001141024,41.80937909571168,38002.28133842336,172843.19837288657,-134840.9170344632,2994.72,27487.0,-24492.28,364971.2091857946,169743.4889242261,195227.72026156847,6128.503917554336,7061.550932185366,-933.0470146310299,0.0,0.0,0.0,412096.71444177226,377135.23822929803,34961.47621247423,8.483803676967716,0.1816927970705297,0.16627833687187463,0.0,2.7755575615628914e-17,1799388.2972217211,1129105.8245040884,670282.4727176328,0.7933474868419196,0.4978209926295383,29.55264942123813,207.0,683.0,476.0,138.0,1485.0,1347.0,25.0,196.0,65.0,278.0,78.0
seed42,17,44,cold_start_20260830_174912,20,40,0.4440026544093252,0.1798323053306534,0.1607414032066769,0.01909090212397649,445.2476001141024,416.2476001141024,29.0,44781.15694885697,149508.85733150275,-104727.70038264577,3945.88,23526.0,-19580.12,353344.72916042845,186134.15762687995,167210.5715335485,5805.174375506928,5407.925923419065,397.24845208786337,0.0,0.0,0.0,407876.94048479234,364576.94088180177,43299.999602990574,10.615946945057809,0.17983230533065347,0.16074140320667693,8.326672684688674e-17,2.7755575615628914e-17,1758377.6358924666,1219212.154183221,539165.4817092456,0.7752659503833771,0.5375487325008402,23.771721788253686,249.0,589.0,340.0,230.0,1425.0,1195.0,23.0,274.0,52.0,218.0,103.0
seed43,8,44,cold_start_20260830_174912,20,38,0.4388275910640267,0.1786353756972715,0.1607414032066769,0.0178939724905946,447.9349765967564,416.2476001141024,31.68737648265403,43384.966870309225,149508.85733150275,-106123.89046119351,3947.0,23526.0,-19579.0,352704.040695636,186134.15762687995,166569.88306875605,5126.181551222857,5407.925923419065,-281.74437219620813,0.0,0.0,0.0,405162.1891171681,364576.94088180177,40585.24823536631,10.017037454506777,0.17863537569727153,0.16074140320667693,2.7755575615628914e-17,2.7755575615628914e-17,1760303.2287829416,1219212.154183221,541091.0745997205,0.7761149412780594,0.5375487325008402,23.856620877721912,242.0,589.0,347.0,255.0,1425.0,1170.0,21.0,250.0,52.0,218.0,103.0
seed43,9,44,cold_start_20260830_174912,20,38,0.4390242666312545,0.1785389203925819,0.1607414032066769,0.017797517185905,448.24760011410257,416.2476001141024,32.00000000000017,40273.38189076197,149508.85733150275,-109235.47544074077,3678.7,23526.0,-19847.3,356115.09527275804,186134.15762687995,169980.9376458781,4876.242058561834,5407.925923419065,-531.6838648572311,0.0,0.0,0.0,404943.41922208184,364576.94088180177,40366.47834028007,9.968424333904784,0.17853892039258196,0.16074140320667693,5.551115123125783e-17,2.7755575615628914e-17,1779584.0446846276,1219212.154183221,560371.8905014065,0.7846158228629191,0.5375487325008402,24.706709036207886,212.0,589.0,377.0,253.0,1425.0,1172.0,20.0,275.0,52.0,218.0,103.0
seed43,10,44,cold_start_20260830_174912,20,36,0.4189047764917614,0.1770125942932474,0.1607414032066769,0.01627119108657049,448.6937270185009,416.2476001141024,32.44612690439851,39781.84313098145,149508.85733150275,-109727.0142005213,3711.84,23526.0,-19814.16,353128.92571828054,186134.15762687995,166994.7680914006,4858.956183529535,5407.925923419065,-548.9697398895296,0.0,0.0,0.0,401481.5650327915,364576.94088180177,36904.62415098975,9.192109268572647,0.17701259429324742,0.16074140320667693,2.7755575615628914e-17,2.7755575615628914e-17,1776410.384651965,1219212.154183221,557198.230468744,0.7832165611166406,0.5375487325008402,24.566782861580037,206.0,589.0,383.0,290.0,1425.0,1135.0,20.0,232.0,52.0,218.0,103.0
seed43,11,44,cold_start_20260830_174912,20,36,0.4191762803655023,0.176811587805854,0.1607414032066769,0.016070184599177084,449.2476001141023,416.2476001141024,32.999999999999886,39133.044560777984,149508.85733150275,-110375.81277072476,3691.94,23526.0,-19834.06,353582.4343738747,186134.15762687995,167448.27674699473,4618.244079061203,5407.925923419065,-789.6818443578622,0.0,0.0,0.0,401025.6630137139,364576.94088180177,36448.72213191213,9.08887522509144,0.176811587805854,0.16074140320667693,0.0,2.7755575615628914e-17,1777331.0496621565,1219212.154183221,558118.8954789354,0.7836224808801439,0.5375487325008402,24.60737483793036,206.0,589.0,383.0,291.0,1425.0,1134.0,19.0,217.0,52.0,218.0,103.0
seed43,12,44,cold_start_20260830_174912,20,35,0.4224805232382413,0.1760417945530227,0.1607414032066769,0.01530039134634581,451.6051142380329,416.2476001141024,35.357514123930514,39119.80377363097,149508.85733150275,-110389.05355787178,3780.64,23526.0,-19745.36,351993.51994083833,186134.15762687995,165859.36231395838,4385.734267025628,5407.925923419065,-1022.1916563934374,0.0,0.0,0.0,399279.6979814949,364576.94088180177,34702.75709969312,8.69134024973678,0.17604179455302274,0.16074140320667693,2.7755575615628914e-17,2.7755575615628914e-17,1774133.3141789802,1219212.154183221,554921.1599957591,0.7822126043053766,0.5375487325008402,24.46638718045364,206.0,589.0,383.0,313.0,1425.0,1112.0,18.0,212.0,52.0,218.0,103.0
seed43,13,44,cold_start_20260830_174912,20,36,0.4539479321498992,0.1756872637582665,0.1607414032066769,0.014945860551589585,457.263901370698,416.2476001141024,41.016301256595625,39277.8784017245,149508.85733150275,-110230.97892977824,3818.16,23526.0,-19707.84,351058.145094606,186134.15762687995,164923.98746772602,4321.404591744998,5407.925923419065,-1086.5213316740674,0.0,0.0,0.0,398475.58808807546,364576.94088180177,33898.64720627369,8.507082546492416,0.17568726375826652,0.16074140320667693,2.7755575615628914e-17,2.7755575615628914e-17,1772420.2215997349,1219212.154183221,553208.0674165138,0.7814573044656643,0.5375487325008402,24.390857196482408,206.0,589.0,383.0,323.0,1425.0,1102.0,18.0,208.0,52.0,218.0,103.0
