thermal_case,source_run,source_solution_id,pv_kw,bsv_kwh,biomethane_storage_nm3,chp_kw,P_peak_grid_opt_kw,base_lcoe_usd_kwh,recomputed_lcoe_usd_kwh,lcoe_audit_error,chp_electric_energy_kwh,chp_capacity_factor,heat_available_kwh_th,thermal_demand_kwh_th,heat_useful_kwh_th,heat_dumped_kwh_th,heat_utilization_ratio,thermal_demand_coverage_ratio,heat_credit_usd_per_year,adjusted_lcoe_usd_kwh,lcoe_reduction_usd_kwh,lcoe_reduction_percent,dominated_by_h2,n_h2_dominators,solver_status,solve_time_sec
T0,seed42,10,245.0,105.0,346.0,41.0,428.3578345096222,0.185306319655312,0.18530631965531205,5.551115123125783e-17,52860.182444254155,0.1471772537149297,61784.628830946414,0.0,-4.170487954979762e-12,61784.628830946414,-6.750041286791491e-17,0.0,-3.33639036398381e-13,0.185306319655312,0.0,0.0,True,42,OPTIMAL,8.464999999999987
T1,seed42,10,245.0,105.0,346.0,41.0,428.3578345096222,0.185306319655312,0.18530631965531205,5.551115123125783e-17,52860.182444254155,0.1471772537149297,61784.628830946414,200000.0,48815.623821195346,12969.005009751063,0.7900933410923849,0.24407811910597674,3905.2499056956276,0.18358450107787824,0.0017218185774337535,0.9291742346599433,True,39,OPTIMAL,8.464999999999987
T2,seed42,10,245.0,105.0,346.0,41.0,428.3578345096222,0.185306319655312,0.18530631965531205,5.551115123125783e-17,52860.182444254155,0.1471772537149297,61784.628830946414,400000.0,58610.9876273734,3173.641203573009,0.9486338064398403,0.1465274690684335,4688.879010189872,0.18323900023093675,0.0020673194243752413,1.115622731173259,True,39,OPTIMAL,8.464999999999987
T0,seed42,11,231.0,97.0,249.0,38.0,430.2476001141024,0.1844669162026829,0.18446691620268293,2.7755575615628914e-17,49913.85010388404,0.14994547615922868,58340.86375778654,0.0,-4.844240572482144e-13,58340.86375778654,-8.303340506911165e-18,0.0,-3.8753924579857155e-14,0.1844669162026829,0.0,0.0,True,42,OPTIMAL,11.65
T1,seed42,11,231.0,97.0,249.0,38.0,430.2476001141024,0.1844669162026829,0.18446691620268293,2.7755575615628914e-17,49913.85010388404,0.14994547615922868,58340.86375778654,200000.0,48930.57777549162,9410.28598229491,0.8387016342205087,0.2446528888774581,3914.4462220393298,0.18274104298375196,0.0017258732189309456,0.9356004070858123,True,38,OPTIMAL,11.65
T2,seed42,11,231.0,97.0,249.0,38.0,430.2476001141024,0.1844669162026829,0.18446691620268293,2.7755575615628914e-17,49913.85010388404,0.14994547615922868,58340.86375778654,400000.0,55120.01549393877,3220.84826384777,0.9447925852243164,0.13780003873484692,4409.601239515102,0.18252272991073815,0.0019441862919447606,1.0539484976311888,True,38,OPTIMAL,11.65
T0,seed42,12,252.0,113.0,315.0,32.0,436.2476001141032,0.1844436944185219,0.18444369441852193,2.7755575615628914e-17,42108.60643488949,0.1502162044623626,49217.85167714355,0.0,-8.484697295670226e-14,49217.85167714355,-1.7239064702229707e-18,0.0,-6.787757836536181e-15,0.1844436944185219,0.0,0.0,True,44,OPTIMAL,11.469999999999992
T1,seed42,12,252.0,113.0,315.0,32.0,436.2476001141032,0.1844436944185219,0.18444369441852193,2.7755575615628914e-17,42108.60643488949,0.1502162044623626,49217.85167714355,200000.0,43331.30897536943,5886.542701774121,0.8803982193211453,0.21665654487684716,3466.5047180295546,0.18291531790833748,0.0015283765101844204,0.828641236558825,True,41,OPTIMAL,11.469999999999992
T2,seed42,12,252.0,113.0,315.0,32.0,436.2476001141032,0.1844436944185219,0.18444369441852193,2.7755575615628914e-17,42108.60643488949,0.1502162044623626,49217.85167714355,400000.0,46973.05975656063,2244.7919205829157,0.9543906967880642,0.11743264939140158,3757.8447805248506,0.18278686653030315,0.0016568278882187482,0.8982838331459755,True,40,OPTIMAL,11.469999999999992
T0,seed42,13,240.0,70.0,168.0,29.0,439.24760011410217,0.1842310197452163,0.18423101974521638,8.326672684688674e-17,37398.755529640475,0.147216011374746,43712.83113854081,0.0,-2.291437900609669e-13,43712.83113854081,-5.242025832980994e-18,0.0,-1.8331503204877353e-14,0.1842310197452163,0.0,0.0,True,45,OPTIMAL,9.271999999999986
