solution_id,pv_kw,bsv_kwh,electrolyzer_kw,h2_tank_kg,fuelcell_kw,lcoe_usd_kwh,rank,crowding_distance,milp_status,solve_time_sec,capex_total_usd,annualized_capex_usd,fixed_opex_annual_usd,variable_h2_opex_annual_usd,degradation_opex_annual_usd,grid_opex_annual_usd,grid_peak_opex_annual_usd,E_grid_total_kwh,E_load_total_kwh,E_grid_peak_opt_kwh,E_grid_peak_ref_kwh,R_peak_percent,P_peak_grid_opt_kw,P_peak_grid_ref_kw,Peak_reduction_percent,peak_grid_dependency_ratio,peak_grid_dependency_percent,total_grid_dependency_ratio,grid_dependency_objective,E_grid_peak_opt_kWh,E_grid_peak_ref_kWh
14,821.0,1358.0,372.0,122.0,93.0,0.1635820125931248,0,0.049143843484511486,OPTIMAL,11.126999999999976,2057860.0,172620.48932038835,33424.2,9651.025195064092,0.0,155324.00128115906,171.64806673542955,1034692.3175629618,2268096.0450061434,343.2961334708591,325732.2452614388,99.89460787549746,375.2476001141024,474.8149521321564,20.969717059445337,0.0010539212450254142,0.10539212450254143,0.4561942250378375,0.06948305500070104,343.2961334708591,325732.2452614388
15,824.0,1350.0,369.0,120.0,92.0,0.16348422055468248,0,0.03630037628907476,OPTIMAL,9.772,2050600.0,172011.49514563105,33248.0,9597.80198464728,0.0,155940.61693070905,299.06264614063366,1038208.4871894041,2268096.0450061434,598.1252922812673,325732.2452614388,99.81637516672592,376.2476001141024,474.8149521321564,20.759108696016703,0.0018362483327409014,0.18362483327409015,0.4577444987284884,0.07049792314201415,598.1252922812673,325732.2452614388
16,782.0,1275.0,374.0,122.0,93.0,0.163325438988968,0,0.04986331075099541,OPTIMAL,11.897999999999985,2004600.0,168152.85436893202,32749.0,9531.938328804328,0.0,160003.9895220341,1668.2497627372802,1058908.0979207866,2268096.0450061434,3336.4995254745604,325732.2452614388,98.97569258984579,378.72559430869114,474.8149521321564,20.2372223941087,0.010243074101541969,1.024307410154197,0.4668709247354287,0.08027371281185627,3336.4995254745604,325732.2452614388
17,845.0,1395.0,357.0,79.0,93.0,0.16241045868362536,0,0.04598007874737159,OPTIMAL,9.744,2034200.0,170635.8058252427,32969.0,9418.785566261555,0.0,155338.92761646005,48.065066482283825,1035368.5471328164,2268096.0450061434,96.13013296456765,325732.2452614388,99.97048798994787,378.86271141825273,474.8149521321564,20.208344384065867,0.0002951201005212481,0.029512010052124813,0.4564923735978791,0.06876897614020311,96.13013296456765,325732.2452614388
18,759.0,1313.0,368.0,120.0,90.0,0.16196435257054634,0,0.0513981544070219,OPTIMAL,9.408999999999997,1972860.0,165490.3922330097,32317.2,9303.062637415527,0.0,160240.0526268115,1141.6729852344986,1062939.2102476489,2268096.0450061434,2283.345970468997,325732.2452614388,99.29901138014864,380.0250332409905,474.8149521321564,19.963549687201677,0.007009886198513571,0.7009886198513571,0.46864823585756477,0.07730712157714828,2283.345970468997,325732.2452614388
19,756.0,1358.0,363.0,121.0,87.0,0.16119999563520093,0,0.0472295043607655,OPTIMAL,10.148999999999994,1966460.0,164953.53786407766,32174.2,9184.609448352261,0.0,159304.72524277688,574.4028851081417,1059350.9548213414,2268096.0450061434,1148.8057702162835,325732.2452614388,99.64731592068993,381.2476001141024,474.8149521321564,19.706066878873518,0.003526840793100574,0.3526840793100574,0.4670661796504619,0.07358676774066986,1148.8057702162835,325732.2452614388
20,766.0,1337.0,364.0,103.0,85.0,0.16119602090741827,0,0.0312367751797858,OPTIMAL,9.425,1960440.0,164448.55922330095,32035.8,9248.93550455389,0.0,159874.76276298816,1244.326832654086,1060024.8932008687,2268096.0450061434,2488.653665308172,325732.2452614388,99.23598179132964,383.2476001141024,474.8149521321564,19.28485015201624,0.007640182086703551,0.7640182086703551,0.4673633180282705,0.07774467979094413,2488.653665308172,325732.2452614388
21,777.0,1358.0,352.0,110.0,90.0,0.16112327846425717,0,0.05263906335421366,OPTIMAL,10.03599999999999,1962760.0,164643.16893203883,31995.2,9039.451873529497,0.0,159765.24983763692,336.3201360477037,1063532.1716160234,2268096.0450061434,672.6402720954075,325732.2452614388,99.79349902200946,384.67232202439754,474.8149521321564,18.98479180214806,0.0020650097799053756,0.20650097799053754,0.46890967159776636,0.07240146051957032,672.6402720954075,325732.2452614388
22,742.0,1357.0,355.0,88.0,88.0,0.15973949827617237,0,0.07225475018646049,OPTIMAL,9.703999999999995,1917740.0,160866.73398058253,31550.8,8950.362864528688,0.0,160936.62742634103,501.10979600126785,1070572.3371276008,2268096.0450061434,1002.2195920025357,325732.2452614388,99.6923179677228,385.0400439915475,474.8149521321564,18.90734648044985,0.003076820322771961,0.3076820322771961,0.47201366956428914,0.07387887075741532,1002.2195920025357,325732.2452614388
23,740.0,1334.0,344.0,70.0,82.0,0.1588287338033524,0,0.0451776509820778,OPTIMAL,9.643999999999993,1870080.0,156868.84660194174,30647.6,8710.802347926729,0.0,164011.57402284874,1759.714916798719,1085198.4905405976,2268096.0450061434,3519.429833597438,325732.2452614388,98.91953287253686,386.2476001141024,474.8149521321564,18.653025061730332,0.01080467127463134,1.0804671274631341,0.4784623177356046,0.08257401893497202,3519.429833597438,325732.2452614388
24,745.0,1368.0,342.0,79.0,81.0,0.15871266021713087,0,0.028585656573814382,OPTIMAL,10.037000000000006,1882660.0,157924.10097087378,30782.2,8690.142079706715,0.0,162579.11388029793,1049.8396130918588,1078961.5076742242,2268096.0450061434,2099.6792261837177,325732.2452614388,99.3553971838132,387.2476001141024,474.8149521321564,18.442416698301688,0.006446028161867966,0.6446028161867966,0.4757124417415497,0.07780289442310043,2099.6792261837177,325732.2452614388
25,742.0,1464.0,335.0,107.0,80.0,0.1583802271600496,0,0.05696256106603442,OPTIMAL,10.046000000000005,1902280.0,159569.89514563108,31023.6,8530.234825343789,0.0,160097.83685790823,60.95885521242508,1067034.4377283968,2268096.0450061434,121.91771042485016,325732.2452614388,99.96257118777817,388.2476001141024,474.8149521321564,18.231808334873058,0.00037428812221828613,0.03742881222182861,0.4704538152508029,0.07094236040983871,121.91771042485016,325732.2452614388
26,781.0,1366.0,304.0,72.0,77.0,0.1578237943054549,0,0.08861036552537455,OPTIMAL,9.679000000000004,1832820.0,153743.34757281552,29415.4,8010.131402046801,0.0,166790.644697203,1657.4546828203993,1104202.8427948584,2268096.0450061434,3314.9093656407986,325732.2452614388,98.98232078221787,391.2476001141024,474.8149521321564,17.599983244587147,0.010176792177821359,1.0176792177821359,0.4868413069305747,0.08320298821740756,3314.9093656407986,325732.2452614388
27,710.0,1368.0,310.0,76.0,76.0,0.15625618061371166,0,0.08034317791142123,OPTIMAL,10.853999999999985,1775360.0,148923.40194174758,28939.2,7860.38118886947,0.0,168681.04212710797,1759.0852709539477,1116331.2162496014,2268096.0450061434,3518.1705419078953,325732.2452614388,98.91991947586149,392.2476001141024,474.8149521321564,17.389374881158513,0.010800805241385132,1.0800805241385132,0.4921886878236577,0.08462910841493379,3518.1705419078953,325732.2452614388
28,708.0,1355.0,301.0,65.0,74.0,0.1556888266414095,0,0.050818740707067926,OPTIMAL,9.826999999999995,1743300.0,146234.09708737864,28358.0,7657.036677782593,0.0,170868.07819186678,2498.325552057544,1127461.6687028434,2268096.0450061434,4996.651104115088,325732.2452614388,98.46602503227622,394.2476001141024,474.8149521321564,16.96815815430124,0.015339749677237766,1.5339749677237766,0.49709608690746143,0.08990416271335698,4996.651104115088,325732.2452614388
29,705.0,1369.0,298.0,64.0,73.0,0.15527352078609022,0,0.0641327180396382,OPTIMAL,9.90999999999999,1735480.0,145578.1281553398,28224.6,7580.148128882764,0.0,170792.38210488792,2231.9485094182874,1128200.1209886342,2268096.0450061434,4463.897018836575,325732.2452614388,98.62958086472104,395.2476001141024,474.8149521321564,16.757549790872595,0.013704191352789675,1.3704191352789674,0.497421669365672,0.08831744175764047,4463.897018836575,325732.2452614388
30,692.0,1471.0,294.0,61.0,73.0,0.15377631065986885,0,0.09728472523589118,OPTIMAL,9.635999999999994,1735120.0,145547.93009708737,28365.4,7442.107081689196,0.0,167424.00484450805,179.14287919699268,1115324.032193801,2268096.0450061434,358.28575839398536,325732.2452614388,99.89000605140998,396.0178363106161,474.8149521321564,16.59533160607135,0.0010999394859002017,0.10999394859002017,0.4917446219482209,0.07486163277813333,358.28575839398536,325732.2452614388
31,683.0,1368.0,272.0,67.0,69.0,0.1536593102520134,0,0.09173977003832709,OPTIMAL,9.738999999999999,1657860.0,139067.09126213592,26822.2,6930.73047627764,0.0,175694.05212255003,3019.246460717711,1157203.8640003176,2268096.0450061434,6038.492921435422,325732.2452614388,98.14617895241264,401.79087364330735,474.8149521321564,15.379481661420824,0.018538210475873566,1.8538210475873567,0.5102093743112114,0.09506961662255527,6038.492921435422,325732.2452614388
32,663.0,1367.0,270.0,61.0,69.0,0.15292311382325735,0,0.05822338483142085,OPTIMAL,9.700999999999995,1630040.0,136733.45242718447,26501.8,6809.651097072668,0.0,176799.40612829712,3054.468644420509,1164408.5205146852,2268096.0450061434,6108.937288841018,325732.2452614388,98.1245524882138,404.19369760728296,474.8149521321564,14.873426838760807,0.01875447511786213,1.8754475117862128,0.5133858961036772,0.09576235953341371,6108.937288841018,325732.2452614388
33,664.0,1410.0,266.0,66.0,68.0,0.15234730826659745,0,0.03861576514366493,OPTIMAL,9.931000000000004,1634200.0,137082.40776699028,26532.0,6727.227409987483,0.0,175196.69216982363,1852.8125125425768,1159331.4894069587,2268096.0450061434,3705.6250250851535,325732.2452614388,98.86237083402321,404.66992345351304,474.8149521321564,14.773129692663877,0.011376291659767826,1.1376291659767825,0.5111474410263868,0.08804840781372583,3705.6250250851535,325732.2452614388
34,664.0,1451.0,268.0,61.0,63.0,0.15176754261202538,0,0.050739665627762935,OPTIMAL,9.943999999999999,1637720.0,137377.6776699029,26567.4,6769.792301240996,0.0,173508.49318749213,1505.8700737093848,1149695.894239304,2268096.0450061434,3011.7401474187695,325732.2452614388,99.07539391901422,405.2476001141024,474.8149521321564,14.651466156586235,0.009246060809857773,0.9246060809857773,0.5068991221825396,0.08528092913723873,3011.7401474187695,325732.2452614388
35,664.0,1452.0,248.0,61.0,62.0,0.1508932749209575,0,0.07499698717766427,OPTIMAL,9.772,1596640.0,133931.74368932037,25732.8,6335.659865972461,0.0,176240.23651095555,1628.5795406594225,1167334.8722166263,2268096.0450061434,3257.159081318845,325732.2452614388,99.00005015508839,406.2476001141024,474.8149521321564,14.44085779315759,0.009999498449116047,0.9999498449116048,0.5146761199936154,0.08720091644815835,3257.159081318845,325732.2452614388
