route,global_solution_id,source_run,source_solution_id,month,monthly_peak_grid_kw,demand_charge_usd_kw_month,monthly_demand_charge_usd
H2,39,cold_start_20260830_174912,15,4,406.2318256052895,30.0,12186.954768158685
H2,39,cold_start_20260830_174912,15,5,406.2318256052895,30.0,12186.954768158685
H2,39,cold_start_20260830_174912,15,6,406.2318256052895,30.0,12186.954768158685
H2,39,cold_start_20260830_174912,15,7,406.2318256052895,30.0,12186.954768158685
H2,39,cold_start_20260830_174912,15,8,406.2318256052895,30.0,12186.954768158685
H2,39,cold_start_20260830_174912,15,9,406.2318256052895,30.0,12186.954768158685
H2,39,cold_start_20260830_174912,15,10,406.2318256052895,30.0,12186.954768158685
H2,39,cold_start_20260830_174912,15,11,406.2318256052895,30.0,12186.954768158685
H2,39,cold_start_20260830_174912,15,12,406.2318256052895,30.0,12186.954768158685
H2,40,cold_start_20260830_174912,16,1,402.57574252828493,30.0,12077.272275848549
H2,40,cold_start_20260830_174912,16,2,402.57574252828454,30.0,12077.272275848536
H2,40,cold_start_20260830_174912,16,3,402.57574252828454,30.0,12077.272275848536
H2,40,cold_start_20260830_174912,16,4,402.57574252828454,30.0,12077.272275848536
H2,40,cold_start_20260830_174912,16,5,402.57574252828454,30.0,12077.272275848536
H2,40,cold_start_20260830_174912,16,6,402.57574252828454,30.0,12077.272275848536
H2,40,cold_start_20260830_174912,16,7,402.57574252828454,30.0,12077.272275848536
H2,40,cold_start_20260830_174912,16,8,402.57574252828454,30.0,12077.272275848536
H2,40,cold_start_20260830_174912,16,9,402.5757425282847,30.0,12077.272275848542
H2,40,cold_start_20260830_174912,16,10,402.5757425282847,30.0,12077.272275848542
H2,40,cold_start_20260830_174912,16,11,402.57574252828454,30.0,12077.272275848536
H2,40,cold_start_20260830_174912,16,12,407.2476001141024,30.0,12217.428003423072
H2,41,cold_start_20260830_174912,17,1,409.2257929892148,30.0,12276.773789676445
H2,41,cold_start_20260830_174912,17,2,409.2257929892148,30.0,12276.773789676445
H2,41,cold_start_20260830_174912,17,3,409.2257929892148,30.0,12276.773789676445
H2,41,cold_start_20260830_174912,17,4,409.2257929892148,30.0,12276.773789676445
H2,41,cold_start_20260830_174912,17,5,409.2257929892148,30.0,12276.773789676445
H2,41,cold_start_20260830_174912,17,6,409.2257929892148,30.0,12276.773789676445
H2,41,cold_start_20260830_174912,17,7,409.2257929892148,30.0,12276.773789676445
H2,41,cold_start_20260830_174912,17,8,409.2257929892148,30.0,12276.773789676445
H2,41,cold_start_20260830_174912,17,9,409.2257929892148,30.0,12276.773789676445
H2,41,cold_start_20260830_174912,17,10,409.2257929892148,30.0,12276.773789676445
H2,41,cold_start_20260830_174912,17,11,409.2257929892148,30.0,12276.773789676445
H2,41,cold_start_20260830_174912,17,12,409.2257929892148,30.0,12276.773789676445
H2,42,cold_start_20260830_174912,18,1,413.2444705279062,30.0,12397.334115837186
H2,42,cold_start_20260830_174912,18,2,413.24447052790583,30.0,12397.334115837175
H2,42,cold_start_20260830_174912,18,3,413.2444705279059,30.0,12397.334115837177
H2,42,cold_start_20260830_174912,18,4,413.24447052790583,30.0,12397.334115837175
H2,42,cold_start_20260830_174912,18,5,413.24447052790583,30.0,12397.334115837175
H2,42,cold_start_20260830_174912,18,6,413.24447052790583,30.0,12397.334115837175
H2,42,cold_start_20260830_174912,18,7,413.24447052790583,30.0,12397.334115837175
H2,42,cold_start_20260830_174912,18,8,413.24447052790583,30.0,12397.334115837175
H2,42,cold_start_20260830_174912,18,9,413.24447052790583,30.0,12397.334115837175
H2,42,cold_start_20260830_174912,18,10,413.24447052790583,30.0,12397.334115837175
H2,42,cold_start_20260830_174912,18,11,413.24447052790583,30.0,12397.334115837175
H2,42,cold_start_20260830_174912,18,12,413.24447052790583,30.0,12397.334115837175
H2,43,cold_start_20260830_174912,19,1,415.525792989215,30.0,12465.77378967645
H2,43,cold_start_20260830_174912,19,2,415.525792989215,30.0,12465.77378967645
H2,43,cold_start_20260830_174912,19,3,415.525792989215,30.0,12465.77378967645
H2,43,cold_start_20260830_174912,19,4,415.525792989215,30.0,12465.77378967645
H2,43,cold_start_20260830_174912,19,5,415.525792989215,30.0,12465.77378967645
H2,43,cold_start_20260830_174912,19,6,415.525792989215,30.0,12465.77378967645
H2,43,cold_start_20260830_174912,19,7,415.525792989215,30.0,12465.77378967645
H2,43,cold_start_20260830_174912,19,8,415.525792989215,30.0,12465.77378967645
H2,43,cold_start_20260830_174912,19,9,415.525792989215,30.0,12465.77378967645
H2,43,cold_start_20260830_174912,19,10,415.525792989215,30.0,12465.77378967645
H2,43,cold_start_20260830_174912,19,11,415.525792989215,30.0,12465.77378967645
H2,43,cold_start_20260830_174912,19,12,415.525792989215,30.0,12465.77378967645
H2,44,cold_start_20260830_174912,20,1,412.34068595340915,30.0,12370.220578602275
H2,44,cold_start_20260830_174912,20,2,412.34068595340887,30.0,12370.220578602266
H2,44,cold_start_20260830_174912,20,3,412.3406859534089,30.0,12370.220578602268
H2,44,cold_start_20260830_174912,20,4,412.34068595340887,30.0,12370.220578602266
H2,44,cold_start_20260830_174912,20,5,412.34068595340887,30.0,12370.220578602266
H2,44,cold_start_20260830_174912,20,6,412.34068595340887,30.0,12370.220578602266
H2,44,cold_start_20260830_174912,20,7,412.34068595340887,30.0,12370.220578602266
H2,44,cold_start_20260830_174912,20,8,412.34068595340887,30.0,12370.220578602266
H2,44,cold_start_20260830_174912,20,9,412.34068595340887,30.0,12370.220578602266
H2,44,cold_start_20260830_174912,20,10,412.3406859534089,30.0,12370.220578602268
H2,44,cold_start_20260830_174912,20,11,412.3406859534089,30.0,12370.220578602268
H2,44,cold_start_20260830_174912,20,12,416.2476001141024,30.0,12487.428003423072
H2,45,cold_start_20260830_174912,21,1,416.68485698821786,30.0,12500.545709646536
H2,45,cold_start_20260830_174912,21,2,416.6848569882177,30.0,12500.54570964653
H2,45,cold_start_20260830_174912,21,3,416.6848569882177,30.0,12500.54570964653
H2,45,cold_start_20260830_174912,21,4,416.6848569882177,30.0,12500.54570964653
H2,45,cold_start_20260830_174912,21,5,416.6848569882177,30.0,12500.54570964653
H2,45,cold_start_20260830_174912,21,6,416.6848569882177,30.0,12500.54570964653
H2,45,cold_start_20260830_174912,21,7,416.6848569882177,30.0,12500.54570964653
H2,45,cold_start_20260830_174912,21,8,416.6848569882177,30.0,12500.54570964653
H2,45,cold_start_20260830_174912,21,9,416.6848569882177,30.0,12500.54570964653
H2,45,cold_start_20260830_174912,21,10,416.708559535566,30.0,12501.25678606698
H2,45,cold_start_20260830_174912,21,11,416.70855953556566,30.0,12501.25678606697
H2,45,cold_start_20260830_174912,21,12,416.70855953556566,30.0,12501.25678606697
H2,46,cold_start_20260830_174912,22,1,417.6075019108348,30.0,12528.225057325044
H2,46,cold_start_20260830_174912,22,2,417.6075019108348,30.0,12528.225057325044
H2,46,cold_start_20260830_174912,22,3,417.6075019108348,30.0,12528.225057325044
H2,46,cold_start_20260830_174912,22,4,417.6075019108348,30.0,12528.225057325044
H2,46,cold_start_20260830_174912,22,5,417.6075019108348,30.0,12528.225057325044
H2,46,cold_start_20260830_174912,22,6,415.0850248215926,30.0,12452.550744647777
H2,46,cold_start_20260830_174912,22,7,415.35313030562855,30.0,12460.593909168856
H2,46,cold_start_20260830_174912,22,8,417.6075019108348,30.0,12528.225057325044
H2,46,cold_start_20260830_174912,22,9,417.6075019108348,30.0,12528.225057325044
H2,46,cold_start_20260830_174912,22,10,417.6075019108348,30.0,12528.225057325044
H2,46,cold_start_20260830_174912,22,11,417.6075019108348,30.0,12528.225057325044
H2,46,cold_start_20260830_174912,22,12,417.6075019108348,30.0,12528.225057325044
H2,47,cold_start_20260830_174912,23,1,420.12884650043765,30.0,12603.86539501313
H2,47,cold_start_20260830_174912,23,2,420.12884650043725,30.0,12603.865395013117
H2,47,cold_start_20260830_174912,23,3,420.12884650043725,30.0,12603.865395013117
H2,47,cold_start_20260830_174912,23,4,420.12884650043725,30.0,12603.865395013117
H2,47,cold_start_20260830_174912,23,5,420.12884650043725,30.0,12603.865395013117
H2,47,cold_start_20260830_174912,23,6,411.0611691701298,30.0,12331.835075103894
H2,47,cold_start_20260830_174912,23,7,415.63821889263977,30.0,12469.146566779193
H2,47,cold_start_20260830_174912,23,8,420.12884650043725,30.0,12603.865395013117
H2,47,cold_start_20260830_174912,23,9,420.12884650043725,30.0,12603.865395013117
H2,47,cold_start_20260830_174912,23,10,420.12884650043725,30.0,12603.865395013117
H2,47,cold_start_20260830_174912,23,11,420.12884650043725,30.0,12603.865395013117
H2,47,cold_start_20260830_174912,23,12,420.2040016631363,30.0,12606.120049894089
H2,48,cold_start_20260830_174912,24,1,421.6724933103924,30.0,12650.174799311771
H2,48,cold_start_20260830_174912,24,2,421.6724933103924,30.0,12650.174799311771
H2,48,cold_start_20260830_174912,24,3,421.6724933103924,30.0,12650.174799311771
H2,48,cold_start_20260830_174912,24,4,421.6724933103924,30.0,12650.174799311771
H2,48,cold_start_20260830_174912,24,5,421.6724933103924,30.0,12650.174799311771
H2,48,cold_start_20260830_174912,24,6,421.1881191042464,30.0,12635.643573127392
H2,48,cold_start_20260830_174912,24,7,417.811638392541,30.0,12534.34915177623
H2,48,cold_start_20260830_174912,24,8,421.6724933103924,30.0,12650.174799311771
H2,48,cold_start_20260830_174912,24,9,421.6724933103924,30.0,12650.174799311771
H2,48,cold_start_20260830_174912,24,10,421.6724933103924,30.0,12650.174799311771
H2,48,cold_start_20260830_174912,24,11,421.6724933103924,30.0,12650.174799311771
H2,48,cold_start_20260830_174912,24,12,422.3718753759081,30.0,12671.156261277243
