solution_id,pv_kw,bsv_kwh,biomethane_storage_nm3,chp_kw,lcoe_usd_kwh,rank,crowding_distance,milp_status,solve_time_sec,capex_total_usd,annualized_capex_usd,fixed_opex_annual_usd,variable_h2_opex_annual_usd,biomethane_fuel_opex_annual_usd,chp_variable_opex_annual_usd,variable_biomethane_opex_annual_usd,variable_dispatchable_opex_annual_usd,degradation_opex_annual_usd,grid_opex_annual_usd,grid_peak_opex_annual_usd,E_grid_total_kwh,E_load_total_kwh,E_grid_peak_opt_kwh,E_grid_peak_ref_kwh,R_peak_percent,P_peak_grid_opt_kw,P_peak_grid_ref_kw,Peak_reduction_percent,peak_grid_dependency_ratio,peak_grid_dependency_percent,total_grid_dependency_ratio,grid_dependency_objective,source_run,source_solution_id,global_solution_id
10,245.0,105.0,346.0,41.0,0.185306319655312,0,0.0638314392191473,OPTIMAL,10.089999999999984,494712.0,50387.50993131848,3472.52,0.0,9565.130957821146,1818.390276082343,11383.521233903488,11383.521233903488,0.0,355048.9795596355,130242.51477621848,1759194.7947752173,2268096.0450061434,260485.02955243696,325732.2452614388,20.03093542570008,428.3578345096222,474.8149521321564,9.78425751209362,0.7996906457429992,79.96906457429992,0.775626234457127,0.9160345809115682,seed42,10,10
11,231.0,97.0,249.0,38.0,0.1844669162026829,0,0.0332506840311434,OPTIMAL,6.90700000000001,450758.0,45910.69794470572,3140.1800000000003,0.0,9031.987609127176,1717.036443573611,10749.024052700788,10749.024052700788,0.0,358588.7810763783,132660.50422204856,1771509.520806295,2268096.0450061434,265321.0084440971,325732.2452614388,18.54628692620053,430.2476001141024,474.8149521321564,9.386257070870307,0.8145371307379947,81.45371307379948,0.7810557779097477,0.9316954974244568,seed42,11,11
12,252.0,113.0,315.0,32.0,0.1844436944185219,0,0.1088803124877367,OPTIMAL,10.057999999999986,461010.0,46954.88678956065,3527.5,0.0,7619.616815091967,1448.5360613601983,9068.152876452164,9068.152876452164,0.0,358785.47417095845,134394.68999698985,1764727.9411537703,2268096.0450061434,268789.3799939797,325732.2452614388,17.481494723298173,436.2476001141032,474.8149521321564,8.122606890298334,0.8251850527670183,82.51850527670183,0.7780657900441736,0.9418949212736444,seed42,12,12
13,240.0,70.0,168.0,29.0,0.1842310197452163,0,0.0598249257499628,OPTIMAL,10.384999999999978,403256.0,41072.51432118841,2980.16,0.0,6767.362081615991,1286.5171902196323,8053.879271835623,8053.879271835623,0.0,365747.09365854994,140204.513037265,1784026.2302164298,2268096.0450061434,280409.02607453,325732.2452614388,13.914256216952523,439.24760011410217,474.8149521321564,7.490781800012625,0.8608574378304747,86.08574378304748,0.7865743755183866,0.9788435941582329,seed42,13,13
14,251.0,113.0,300.0,29.0,0.1841112831778918,0,0.0254159235966002,OPTIMAL,18.333999999999985,445100.0,45334.418147184326,3493.2,0.0,6752.70791225193,1283.7313424154386,8036.439254667368,8036.439254667368,0.0,360718.0158149309,136037.13142985728,1769946.825426872,2268096.0450061434,272074.26285971457,325732.2452614388,16.473033659488422,439.2476001141031,474.8149521321564,7.490781800012436,0.8352696634051158,83.52696634051158,0.7803667879602858,0.9523246815991586,seed42,14,14
15,249.0,114.0,288.0,28.0,0.1838903840195606,0,0.0456612422727238,OPTIMAL,6.593000000000011,437216.0,44531.41533282261,3458.16,0.0,6470.746415789423,1230.1287262402975,7700.87514202972,7700.87514202972,0.0,361390.6022345739,136487.7155785222,1772328.008864056,2268096.0450061434,272975.4311570444,325732.2452614388,16.196374436939987,440.24760011410217,474.8149521321564,7.280173436583992,0.8380362556306001,83.80362556306001,0.7814166480146811,0.9552487528328024,seed42,15,15
16,241.0,129.0,227.0,26.0,0.1826997698082532,0,0.1029039587253311,OPTIMAL,10.985999999999985,414314.0,42198.796046354815,3345.34,0.0,5917.79068927431,1125.0084387467982,7042.799128021108,7042.799128021108,0.0,361793.6901512559,136128.97780849625,1776689.3712353902,2268096.0450061434,272257.9556169925,325732.2452614388,16.416639869819093,442.2476001141025,474.8149521321564,6.858956709726649,0.8358336013018091,83.5833601301809,0.783339565865068,0.9533345361815692,seed42,16,16
0,229.0,118.0,180.0,25.0,0.1824317355828486,0,inf,OPTIMAL,10.61399999999999,388120.0,39530.8792884412,3100.8,0.0,5497.956230536322,1045.1953237251766,6543.151554261499,6543.151554261499,0.0,364597.8671163629,137742.55217318196,1787853.8706342364,2268096.0450061434,275485.1043463639,325732.2452614388,15.425903221446667,443.24760011410217,474.8149521321564,6.648348346298083,0.8457409677855333,84.57409677855333,0.7882619761939551,0.9639802642146266,seed43,0,17
1,223.0,134.0,191.0,25.0,0.1819924357681663,0,0.0048305604394732,OPTIMAL,12.978000000000014,387422.0,39459.78644668265,3129.02,0.0,5644.587317258951,1073.0707959422916,6717.6581132012425,6717.6581132012425,0.0,363469.85922692873,136191.89855182095,1787570.2016043605,2268096.0450061434,272383.7971036419,325732.2452614388,16.378006455878634,443.2476001141024,474.8149521321564,6.648348346298027,0.8362199354412136,83.62199354412137,0.7881369069622087,0.954440471485545,seed43,1,18
2,208.0,135.0,196.0,25.0,0.1818002142053701,0,0.0313101139752747,OPTIMAL,6.784000000000004,373452.0,38036.91108942324,2991.52,0.0,5194.871042303477,987.576963711344,6182.448006014822,6182.448006014822,0.0,365129.46772503166,136094.98270048588,1799086.5322312769,2268096.0450061434,272189.96540097176,325732.2452614388,16.437512908030637,443.4132164387021,474.8149521321564,6.6134681632170285,0.8356248709196936,83.56248709196936,0.7932144391294522,0.9546070367891114,seed43,2,19
3,208.0,136.0,196.0,25.0,0.1817663688987137,0,0.0434128640909471,OPTIMAL,10.533999999999978,373672.0,38059.31857536433,2995.92,0.0,5180.281043872303,984.8033151965152,6165.084359068818,6165.084359068818,0.0,365043.2594798671,135998.0668491508,1798964.0845697438,2268096.0450061434,271996.1336983016,325732.2452614388,16.49701936018264,443.888325495238,474.8149521321564,6.513406222369866,0.8350298063981736,83.50298063981737,0.7931604521469333,0.9540038742202136,seed43,3,20
4,207.0,137.0,196.0,25.0,0.1817269387936106,0,0.0234250656029433,OPTIMAL,10.232999999999985,372892.0,37979.87385248227,2990.32,0.0,5165.278071803292,981.951157850952,6147.229229654244,6147.229229654244,0.0,365056.7280667253,135901.36139642436,1799505.1672615218,2268096.0450061434,271802.7227928487,325732.2452614388,16.556396627329672,444.4525024531778,474.8149521321564,6.394585836574029,0.8344360337267033,83.44360337267032,0.7933990146597375,0.953445885925664,seed43,4,21
5,207.0,138.0,196.0,25.0,0.1816927970705297,0,0.0260094223655923,OPTIMAL,8.48099999999999,373112.0,38002.28133842336,2994.72,0.0,5149.543919006331,978.9599985480056,6128.503917554336,6128.503917554336,0.0,364971.2091857946,135804.2351464807,1799388.2972217211,2268096.0450061434,271608.4702929614,325732.2452614388,16.616032264486623,445.0569792098141,474.8149521321564,6.267277976128205,0.8338396773551338,83.38396773551338,0.7933474868419196,0.9528418003814216,seed43,5,22
17,249.0,230.0,274.0,23.0,0.1798323053306534,0,0.0784561939244812,OPTIMAL,11.756999999999987,439668.0,44781.15694885697,3945.88,0.0,4877.86265723604,927.3117182708884,5805.174375506928,5805.174375506928,0.0,353344.72916042845,127982.97682365491,1758377.6358924666,2268096.0450061434,255965.95364730983,325732.2452614388,21.41829451306953,445.2476001141024,474.8149521321564,6.227131619440762,0.7858170548693048,78.58170548693047,0.7752659503833771,0.9021069474268112,seed42,17,23
8,242.0,255.0,250.0,21.0,0.1786353756972715,0,0.1146925255012567,OPTIMAL,6.553000000000005,425960.0,43384.966870309225,3947.0,0.0,4307.331347086156,818.8502041367014,5126.181551222857,5126.181551222857,0.0,352704.040695636,126655.08054027834,1760303.2287829416,2268096.0450061434,253310.1610805567,325732.2452614388,22.233624467468605,447.9349765967564,474.8149521321564,5.661147656512389,0.777663755325314,77.7663755325314,0.7761149412780594,0.8940809965170229,seed43,8,24
9,212.0,253.0,275.0,20.0,0.1785389203925819,0,0.0508617741620268,OPTIMAL,9.447999999999992,395410.0,40273.38189076197,3678.7,0.0,4097.316894641174,778.9251639206598,4876.242058561834,4876.242058561834,0.0,356115.09527275804,127396.41224294849,1779584.0446846276,2268096.0450061434,254792.82448589697,325732.2452614388,21.77844588846416,448.24760011410257,474.8149521321564,5.595306529154809,0.7822155411153584,78.22155411153584,0.7846158228629191,0.8999079145447962,seed43,9,25
10,206.0,290.0,232.0,20.0,0.1770125942932474,0,0.0834081605511145,OPTIMAL,10.96699999999999,390584.0,39781.84313098145,3711.84,0.0,4082.792244929797,776.1639385997379,4858.956183529535,4858.956183529535,0.0,353128.92571828054,123810.52574355114,1776410.384651965,2268096.0450061434,247621.0514871023,325732.2452614388,23.980184618088085,448.6937270185009,474.8149521321564,5.501348471937995,0.7601981538191191,76.01981538191191,0.7832165611166406,0.8776806379866152,seed43,10,26
11,206.0,291.0,217.0,19.0,0.176811587805854,0,0.0414999586869528,OPTIMAL,9.39899999999998,384214.0,39133.044560777984,3691.94,0.0,3880.5312085542537,737.7128705069487,4618.244079061203,4618.244079061203,0.0,353582.4343738747,124261.10989221607,1777331.0496621565,2268096.0450061434,248522.21978443212,325732.2452614388,23.70352539553965,449.2476001141023,474.8149521321564,5.384698165726231,0.7629647460446035,76.29647460446036,0.7836224808801439,0.8805081181766251,seed43,11,27
12,206.0,313.0,212.0,18.0,0.1760417945530227,0,0.1032099838944588,OPTIMAL,9.72799999999998,384084.0,39119.80377363097,3780.64,0.0,3685.162240077701,700.5720269479259,4385.734267025628,4385.734267025628,0.0,351993.51994083833,122676.4611628447,1774133.3141789802,2268096.0450061434,245352.9223256894,325732.2452614388,24.67650166818315,451.6051142380329,474.8149521321564,4.88818597432531,0.7532349833181685,75.32349833181685,0.7822126043053766,0.870566873963975,seed43,12,28
13,206.0,323.0,208.0,18.0,0.1756872637582665,0,0.4133668735106546,OPTIMAL,9.470999999999997,385636.0,39277.8784017245,3818.16,0.0,3631.1085113684576,690.2960803765399,4321.404591744998,4321.404591744998,0.0,351058.145094606,121707.30264949406,1772420.2215997349,2268096.0450061434,243414.6052989881,325732.2452614388,25.271566189703133,457.263901370698,474.8149521321564,3.6963980773236815,0.7472843381029687,74.72843381029686,0.7814573044656643,0.8645029337728183,seed43,13,29
14,242.0,575.0,191.0,21.0,0.1682453963728939,0,0.3667788703366857,OPTIMAL,10.818999999999994,486802.0,49581.85895952735,5259.42,0.0,4216.574318834104,801.5967343841812,5018.171053218285,5018.171053218285,0.0,321737.26809110615,95642.15835382028,1698585.0482895465,2268096.0450061434,191284.3167076405,325732.2452614388,41.27559690809481,457.8096680508502,474.8149521321564,3.5814550500029574,0.5872440309190519,58.72440309190519,0.7489034919969385,0.6995795547185927,seed43,14,30
15,266.0,619.0,187.0,22.0,0.167261545367826,0,0.7519790222296264,OPTIMAL,10.219999999999978,523994.0,53369.94631007797,5686.54,0.0,4411.778531953794,838.7062569356638,5250.484788889458,5250.484788889458,0.0,315058.2784314144,90830.29872280972,1676513.7955029842,2268096.0450061434,181660.59744561944,325732.2452614388,44.23008465133218,461.13987986295103,474.8149521321564,2.8800845903856787,0.5576991534866782,55.76991534866782,0.7391723111524773,0.6685750001595498,seed43,15,31
23,232.0,647.0,182.0,28.0,0.166196214672857,0,0.4649769377387484,OPTIMAL,8.433999999999983,520304.0,52994.11165952055,5461.64,0.0,5599.1416460477885,1064.4312940907423,6663.572940138531,6663.572940138531,0.0,311829.6525948399,84831.68155308174,1682983.170051218,2268096.0450061434,169663.36310616348,325732.2452614388,47.913242985818464,462.5668151816717,474.8149521321564,2.5795600781914008,0.5208675701418154,52.086757014181536,0.7420246482757125,0.6321712673831723,seed42,23,32
