b1_source_run,b1_source_solution_id,h2_global_solution_id,h2_source_run,h2_source_solution_id,b1_lcoe_usd_kwh,h2_lcoe_usd_kwh,delta_lcoe_b1_minus_h2,b1_peak_kw,h2_peak_kw,delta_peak_b1_minus_h2_kw,b1_capex_total_usd,h2_capex_total_usd,delta_capex_total_b1_minus_h2_usd,b1_annualized_capex_usd,h2_annualized_capex_usd,delta_annualized_capex_b1_minus_h2_usd,b1_fixed_opex_usd,h2_fixed_opex_usd,delta_fixed_opex_b1_minus_h2_usd,b1_grid_opex_usd,h2_grid_opex_usd,delta_grid_opex_b1_minus_h2_usd,b1_peak_opex_usd,h2_peak_opex_usd,delta_peak_opex_b1_minus_h2_usd,b1_dispatchable_opex_usd,h2_dispatchable_opex_usd,delta_dispatchable_opex_b1_minus_h2_usd,b1_biomethane_fuel_opex_usd,b1_chp_variable_opex_usd,h2_variable_h2_opex_usd,b1_degradation_opex_usd,h2_degradation_opex_usd,delta_degradation_b1_minus_h2_usd,b1_total_annual_cost_reconstructed_usd,h2_total_annual_cost_reconstructed_usd,delta_total_annual_cost_b1_minus_h2_usd,h2_total_annual_cost_advantage_percent,b1_E_grid_kwh,h2_E_grid_kwh,delta_E_grid_b1_minus_h2_kwh,b1_grid_dependency_ratio,h2_grid_dependency_ratio,delta_grid_dependency_b1_minus_h2_pp,b1_pv_kw,h2_pv_kw,b1_bsv_kwh,h2_bsv_kwh,b1_chp_kw,b1_biomethane_storage_nm3,h2_fuelcell_kw,h2_electrolyzer_kw,h2_tank_kg,h2_lcoe_reconstructed,h2_lcoe_reconstruction_error,b1_lcoe_reconstructed,b1_lcoe_reconstruction_error
seed42,14,35,cold_start_20260830_174912,11,0.1841112831778918,0.1662783368718746,0.0178329463060172,439.2476001141031,403.2476001141024,36.00000000000068,445100.0,1697000.0,-1251900.0,45334.418147184326,172843.19837288657,-127508.78022570224,3493.2,27487.0,-23993.8,360718.0158149309,169743.4889242261,190974.5268907048,136037.13142985728,539.4503551612465,135497.68107469604,8036.439254667368,7061.550932185366,974.888322482002,6752.70791225193,1283.7313424154386,7061.550932185366,0.0,0.0,0.0,553619.2046466399,377674.6885844593,175944.51606218057,31.780782636411825,1769946.825426872,1129105.8245040884,640841.0009227835,0.7803667879602858,0.4978209926295383,28.254579533074754,251.0,683.0,113.0,1485.0,29.0,300.0,65.0,278.0,78.0,0.16651617969001675,0.00023784281814215325,0.24408984172676002,0.059978558548868216
seed42,15,35,cold_start_20260830_174912,11,0.1838903840195606,0.1662783368718746,0.017612047147685994,440.24760011410217,403.2476001141024,36.99999999999977,437216.0,1697000.0,-1259784.0,44531.41533282261,172843.19837288657,-128311.78304006397,3458.16,27487.0,-24028.84,361390.6022345739,169743.4889242261,191647.1133103478,136487.7155785222,539.4503551612465,135948.26522336097,7700.87514202972,7061.550932185366,639.3242098443543,6470.746415789423,1230.1287262402975,7061.550932185366,0.0,0.0,0.0,553568.7682879484,377674.6885844593,175894.07970348914,31.774567096241018,1772328.008864056,1129105.8245040884,643222.1843599677,0.7814166480146811,0.4978209926295383,28.359565538514286,249.0,683.0,114.0,1485.0,28.0,288.0,65.0,278.0,78.0,0.16651617969001675,0.00023784281814215325,0.24406760441507186,0.060177220395511266
seed42,16,35,cold_start_20260830_174912,11,0.1826997698082532,0.1662783368718746,0.0164214329363786,442.2476001141025,403.2476001141024,39.000000000000114,414314.0,1697000.0,-1282686.0,42198.796046354815,172843.19837288657,-130644.40232653177,3345.34,27487.0,-24141.66,361793.6901512559,169743.4889242261,192050.20122702981,136128.97780849625,539.4503551612465,135589.527453335,7042.799128021108,7061.550932185366,-18.75180416425792,5917.79068927431,1125.0084387467982,7061.550932185366,0.0,0.0,0.0,550509.6031341281,377674.6885844593,172834.91454966884,31.39544043658739,1776689.3712353902,1129105.8245040884,647583.5467313018,0.783339565865068,0.4978209926295383,28.551857323552976,241.0,683.0,129.0,1485.0,26.0,227.0,65.0,278.0,78.0,0.16651617969001675,0.00023784281814215325,0.24271882328185843,0.06001905347360523
seed43,0,35,cold_start_20260830_174912,11,0.1824317355828486,0.1662783368718746,0.016153398710973987,443.24760011410217,403.2476001141024,39.99999999999977,388120.0,1697000.0,-1308880.0,39530.8792884412,172843.19837288657,-133312.31908444536,3100.8,27487.0,-24386.2,364597.8671163629,169743.4889242261,194854.3781921368,137742.55217318196,539.4503551612465,137203.10181802072,6543.151554261499,7061.550932185366,-518.3993779238672,5497.956230536322,1045.1953237251766,7061.550932185366,0.0,0.0,0.0,551515.2501322475,377674.6885844593,173840.56154778815,31.520535743318618,1787853.8706342364,1129105.8245040884,658748.046130148,0.7882619761939551,0.4978209926295383,29.044098356441683,229.0,683.0,118.0,1485.0,25.0,180.0,65.0,278.0,78.0,0.16651617969001675,0.00023784281814215325,0.2431622114709669,0.06073047588811831
seed43,1,35,cold_start_20260830_174912,11,0.1819924357681663,0.1662783368718746,0.01571409889629169,443.2476001141024,403.2476001141024,40.0,387422.0,1697000.0,-1309578.0,39459.78644668265,172843.19837288657,-133383.41192620393,3129.02,27487.0,-24357.98,363469.85922692873,169743.4889242261,193726.37030270262,136191.89855182095,539.4503551612465,135652.4481966597,6717.6581132012425,7061.550932185366,-343.89281898412355,5644.587317258951,1073.0707959422916,7061.550932185366,0.0,0.0,0.0,548968.2223386336,377674.6885844593,171293.5337541743,31.20281407627837,1787570.2016043605,1129105.8245040884,658464.3771002721,0.7881369069622087,0.4978209926295383,29.031591433267046,223.0,683.0,134.0,1485.0,25.0,191.0,65.0,278.0,78.0,0.16651617969001675,0.00023784281814215325,0.24203923089912477,0.06004679513095848
seed43,2,35,cold_start_20260830_174912,11,0.1818002142053701,0.1662783368718746,0.015521877333495498,443.4132164387021,403.2476001141024,40.16561632459968,373452.0,1697000.0,-1323548.0,38036.91108942324,172843.19837288657,-134806.28728346335,2991.52,27487.0,-24495.48,365129.46772503166,169743.4889242261,195385.97880080555,136094.98270048588,539.4503551612465,135555.53234532464,6182.448006014822,7061.550932185366,-879.1029261705444,5194.871042303477,987.576963711344,7061.550932185366,0.0,0.0,0.0,548435.3295209556,377674.6885844593,170760.64093649626,31.135966584364898,1799086.5322312769,1129105.8245040884,669980.7077271885,0.7932144391294522,0.4978209926295383,29.539344649991396,208.0,683.0,135.0,1485.0,25.0,196.0,65.0,278.0,78.0,0.16651617969001675,0.00023784281814215325,0.24180427928900605,0.060004065083635955
seed43,3,35,cold_start_20260830_174912,11,0.1817663688987137,0.1662783368718746,0.0154880320268391,443.888325495238,403.2476001141024,40.64072538113561,373672.0,1697000.0,-1323328.0,38059.31857536433,172843.19837288657,-134783.87979752224,2995.92,27487.0,-24491.08,365043.2594798671,169743.4889242261,195299.770555641,135998.0668491508,539.4503551612465,135458.61649398957,6165.084359068818,7061.550932185366,-896.4665731165478,5180.281043872303,984.8033151965152,7061.550932185366,0.0,0.0,0.0,548261.649263451,377674.6885844593,170586.9606789917,31.114151593160432,1798964.0845697438,1129105.8245040884,669858.2600656555,0.7931604521469333,0.4978209926295383,29.533945951739504,208.0,683.0,136.0,1485.0,25.0,196.0,65.0,278.0,78.0,0.16651617969001675,0.00023784281814215325,0.24172770393502713,0.05996133503631343
seed43,4,35,cold_start_20260830_174912,11,0.1817269387936106,0.1662783368718746,0.015448601921736,444.4525024531778,403.2476001141024,41.204902339075375,372892.0,1697000.0,-1324108.0,37979.87385248227,172843.19837288657,-134863.3245204043,2990.32,27487.0,-24496.68,365056.7280667253,169743.4889242261,195313.2391424992,135901.36139642436,539.4503551612465,135361.9110412631,6147.229229654244,7061.550932185366,-914.3217025311224,5165.278071803292,981.951157850952,7061.550932185366,0.0,0.0,0.0,548075.5125452862,377674.6885844593,170400.8239608269,31.09075666772233,1799505.1672615218,1129105.8245040884,670399.3427574334,0.7933990146597375,0.4978209926295383,29.55780220301992,207.0,683.0,137.0,1485.0,25.0,196.0,65.0,278.0,78.0,0.16651617969001675,0.00023784281814215325,0.2416456365470192,0.059918697753408606
seed43,5,35,cold_start_20260830_174912,11,0.1816927970705297,0.1662783368718746,0.015414460198655111,445.0569792098141,403.2476001141024,41.80937909571168,373112.0,1697000.0,-1323888.0,38002.28133842336,172843.19837288657,-134840.9170344632,2994.72,27487.0,-24492.28,364971.2091857946,169743.4889242261,195227.72026156847,135804.2351464807,539.4503551612465,135264.78479131946,6128.503917554336,7061.550932185366,-933.0470146310299,5149.543919006331,978.9599985480056,7061.550932185366,0.0,0.0,0.0,547900.949588253,377674.6885844593,170226.26100379374,31.06880196716552,1799388.2972217211,1129105.8245040884,670282.4727176328,0.7933474868419196,0.4978209926295383,29.55264942123813,207.0,683.0,138.0,1485.0,25.0,196.0,65.0,278.0,78.0,0.16651617969001675,0.00023784281814215325,0.24156867201219823,0.05987587494166852
seed42,17,44,cold_start_20260830_174912,20,0.1798323053306534,0.1607414032066769,0.01909090212397649,445.2476001141024,416.2476001141024,29.0,439668.0,1467900.0,-1028232.0,44781.15694885697,149508.85733150275,-104727.70038264577,3945.88,23526.0,-19580.12,353344.72916042845,186134.15762687995,167210.5715335485,127982.97682365491,4646.192141995394,123336.78468165951,5805.174375506928,5407.925923419065,397.24845208786337,4877.86265723604,927.3117182708884,5407.925923419065,0.0,0.0,0.0,535859.9173084473,369223.1330237972,166636.78428465012,31.097079460924114,1758377.6358924666,1219212.154183221,539165.4817092456,0.7752659503833771,0.5375487325008402,23.771721788253686,249.0,589.0,230.0,1425.0,23.0,274.0,52.0,218.0,103.0,0.16278990205760757,0.002048498850930669,0.23625979970658423,0.05642749437593084
seed43,8,44,cold_start_20260830_174912,20,0.1786353756972715,0.1607414032066769,0.0178939724905946,447.9349765967564,416.2476001141024,31.68737648265403,425960.0,1467900.0,-1041940.0,43384.966870309225,149508.85733150275,-106123.89046119351,3947.0,23526.0,-19579.0,352704.040695636,186134.15762687995,166569.88306875605,126655.08054027834,4646.192141995394,122008.88839828296,5126.181551222857,5407.925923419065,-281.74437219620813,4307.331347086156,818.8502041367014,5407.925923419065,0.0,0.0,0.0,531817.2696574464,369223.1330237972,162594.13663364924,30.57330889957357,1760303.2287829416,1219212.154183221,541091.0745997205,0.7761149412780594,0.5375487325008402,23.856620877721912,242.0,589.0,255.0,1425.0,21.0,250.0,52.0,218.0,103.0,0.16278990205760757,0.002048498850930669,0.2344774026780713,0.05584202698079979
seed43,9,44,cold_start_20260830_174912,20,0.1785389203925819,0.1607414032066769,0.017797517185905,448.24760011410257,416.2476001141024,32.00000000000017,395410.0,1467900.0,-1072490.0,40273.38189076197,149508.85733150275,-109235.47544074077,3678.7,23526.0,-19847.3,356115.09527275804,186134.15762687995,169980.9376458781,127396.41224294849,4646.192141995394,122750.2201009531,4876.242058561834,5407.925923419065,-531.6838648572311,4097.316894641174,778.9251639206598,5407.925923419065,0.0,0.0,0.0,532339.8314650303,369223.1330237972,163116.69844123314,30.641460360448036,1779584.0446846276,1219212.154183221,560371.8905014065,0.7846158228629191,0.5375487325008402,24.706709036207886,212.0,589.0,253.0,1425.0,20.0,275.0,52.0,218.0,103.0,0.16278990205760757,0.002048498850930669,0.23470779936199238,0.056168878969410474
seed43,10,44,cold_start_20260830_174912,20,0.1770125942932474,0.1607414032066769,0.01627119108657049,448.6937270185009,416.2476001141024,32.44612690439851,390584.0,1467900.0,-1077316.0,39781.84313098145,149508.85733150275,-109727.0142005213,3711.84,23526.0,-19814.16,353128.92571828054,186134.15762687995,166994.7680914006,123810.52574355114,4646.192141995394,119164.33360155576,4858.956183529535,5407.925923419065,-548.9697398895296,4082.792244929797,776.1639385997379,5407.925923419065,0.0,0.0,0.0,525292.0907763427,369223.1330237972,156068.95775254548,29.710890472743873,1776410.384651965,1219212.154183221,557198.230468744,0.7832165611166406,0.5375487325008402,24.566782861580037,206.0,589.0,290.0,1425.0,20.0,232.0,52.0,218.0,103.0,0.16278990205760757,0.002048498850930669,0.23160046151172572,0.05458786721847833
seed43,11,44,cold_start_20260830_174912,20,0.176811587805854,0.1607414032066769,0.016070184599177084,449.2476001141023,416.2476001141024,32.999999999999886,384214.0,1467900.0,-1083686.0,39133.044560777984,149508.85733150275,-110375.81277072476,3691.94,23526.0,-19834.06,353582.4343738747,186134.15762687995,167448.27674699473,124261.10989221607,4646.192141995394,119614.91775022069,4618.244079061203,5407.925923419065,-789.6818443578622,3880.5312085542537,737.7128705069487,5407.925923419065,0.0,0.0,0.0,525286.77290593,369223.1330237972,156063.63988213276,29.710178883579303,1777331.0496621565,1219212.154183221,558118.8954789354,0.7836224808801439,0.5375487325008402,24.60737483793036,206.0,589.0,291.0,1425.0,19.0,217.0,52.0,218.0,103.0,0.16278990205760757,0.002048498850930669,0.23159811687097542,0.054786529065121436
seed43,12,44,cold_start_20260830_174912,20,0.1760417945530227,0.1607414032066769,0.01530039134634581,451.6051142380329,416.2476001141024,35.357514123930514,384084.0,1467900.0,-1083816.0,39119.80377363097,149508.85733150275,-110389.05355787178,3780.64,23526.0,-19745.36,351993.51994083833,186134.15762687995,165859.36231395838,122676.4611628447,4646.192141995394,118030.26902084931,4385.734267025628,5407.925923419065,-1022.1916563934374,3685.162240077701,700.5720269479259,5407.925923419065,0.0,0.0,0.0,521956.1591443396,369223.1330237972,152733.02612054243,29.261657985015994,1774133.3141789802,1219212.154183221,554921.1599957591,0.7822126043053766,0.5375487325008402,24.46638718045364,206.0,589.0,313.0,1425.0,18.0,212.0,52.0,218.0,103.0,0.16278990205760757,0.002048498850930669,0.23012965447101508,0.054087859917992365
seed43,13,44,cold_start_20260830_174912,20,0.1756872637582665,0.1607414032066769,0.014945860551589585,457.263901370698,416.2476001141024,41.016301256595625,385636.0,1467900.0,-1082264.0,39277.8784017245,149508.85733150275,-110230.97892977824,3818.16,23526.0,-19707.84,351058.145094606,186134.15762687995,164923.98746772602,121707.30264949406,4646.192141995394,117061.11050749867,4321.404591744998,5407.925923419065,-1086.5213316740674,3631.1085113684576,690.2960803765399,5407.925923419065,0.0,0.0,0.0,520182.89073756954,369223.1330237972,150959.75771377236,29.020515745861204,1772420.2215997349,1219212.154183221,553208.0674165138,0.7814573044656643,0.5375487325008402,24.390857196482408,206.0,589.0,323.0,1425.0,18.0,208.0,52.0,218.0,103.0,0.16278990205760757,0.002048498850930669,0.22934782320303396,0.05366055944476747
