solution_id,pv_kw,bsv_kwh,electrolyzer_kw,h2_tank_kg,fuelcell_kw,lcoe_usd_kwh,rank,crowding_distance,milp_status,solve_time_sec,capex_total_usd,annualized_capex_usd,fixed_opex_annual_usd,variable_h2_opex_annual_usd,degradation_opex_annual_usd,grid_opex_annual_usd,grid_peak_opex_annual_usd,E_grid_total_kwh,E_load_total_kwh,E_grid_peak_opt_kwh,E_grid_peak_ref_kwh,R_peak_percent,P_peak_grid_opt_kw,P_peak_grid_ref_kw,Peak_reduction_percent,peak_grid_dependency_ratio,peak_grid_dependency_percent,total_grid_dependency_ratio,grid_dependency_objective,source_run,source_solution_id,globally_nondominated
10,668.0,1448.0,289.0,67.0,68.0,0.1664921591060872,0,0.0597997674520777,OPTIMAL,11.397999999999987,1693160.0,172452.08589100564,27665.2,7229.745817777343,0.0,170273.17588426694,911.667684810002,1130900.056699333,2268096.0450061434,1823.335369620004,325732.2452614388,99.44023491805162,400.2476001141024,474.8149521321564,15.70450797372942,0.0055976508194838,0.559765081948384,0.4986120667990803,0.0803894608393458,cold_start_20260830_174912,10,True
11,683.0,1485.0,278.0,78.0,65.0,0.1662783368718746,0,0.0635811772258904,OPTIMAL,9.761,1697000.0,172843.19837288657,27487.0,7061.550932185366,0.0,169743.4889242261,539.4503551612465,1129105.8245040884,2268096.0450061434,1078.900710322493,325732.2452614388,99.66877681715036,403.2476001141024,474.8149521321564,15.0726828834435,0.0033122318284962,0.3312231828496277,0.4978209926295383,0.077985380722927,cold_start_20260830_174912,11,True
12,696.0,1460.0,255.0,67.0,65.0,0.1652410276253437,0,0.0403979008391921,OPTIMAL,9.908999999999995,1651900.0,168249.66375496247,26521.0,6611.05829281858,0.0,173400.7991820119,1019.639141863342,1151247.011884717,2268096.0450061434,2039.278283726684,325732.2452614388,99.37394031036445,403.6642641627534,474.8149521321564,14.984929950057568,0.0062605968963555,0.6260596896355537,0.5075830075271784,0.0823980480254323,cold_start_20260830_174912,12,True
13,674.0,1412.0,262.0,61.0,64.0,0.1651489040904277,0,0.0291098076749496,OPTIMAL,9.779999999999982,1628440.0,165860.21093597135,26294.8,6678.120285442492,0.0,175740.4449831841,2485.5787881757637,1160003.598876407,2268096.0450061434,4971.157576351527,325732.2452614388,98.47385156100783,404.2476001141024,474.8149521321564,14.862074520014868,0.0152614843899214,1.5261484389921491,0.5114437730406011,0.0919780503460116,cold_start_20260830_174912,13,True
14,657.0,1380.0,256.0,70.0,63.0,0.1648750254705174,0,0.0454611398479905,OPTIMAL,9.845999999999984,1596500.0,162607.0513861599,25759.0,6483.455522609953,0.0,179102.88628119783,3880.707262072016,1175909.27465165,2268096.0450061434,7761.414524144033,325732.2452614388,97.61724095877749,405.2476001141024,474.8149521321564,14.651466156586237,0.0238275904122251,2.382759041222516,0.5184565606208553,0.1015960745053534,cold_start_20260830_174912,14,True
15,637.0,1333.0,256.0,49.0,64.0,0.1643237486272318,0,0.04680842220689,OPTIMAL,9.642999999999992,1554860.0,158365.9254107639,25265.2,6405.368970627467,0.0,182665.54998061672,5852.673993573475,1190457.8545674356,2268096.0450061434,11705.34798714695,325732.2452614388,96.40645095552269,406.2318256052895,474.8149521321564,14.444180036642573,0.0359354904447731,3.593549044477319,0.5248710067585393,0.114666141458554,cold_start_20260830_174912,15,True
16,637.0,1450.0,270.0,62.0,61.0,0.1640030798212372,0,0.1040516109343743,OPTIMAL,9.607999999999985,1612500.0,164236.68672733032,26301.0,6679.175879586739,0.0,174757.8741044579,1842.4443011984465,1156454.420624127,2268096.0450061434,3684.888602396893,325732.2452614388,98.86873692856555,407.2476001141024,474.8149521321564,14.23024942972896,0.0113126307143443,1.1312630714344332,0.5098789458984283,0.0877944725991085,cold_start_20260830_174912,16,True
17,628.0,1462.0,240.0,58.0,60.0,0.1616318346458821,0,0.13619173546586,OPTIMAL,9.678999999999988,1542440.0,157100.9209771804,25000.8,6025.313728208634,0.0,178469.49020202307,1664.9317616565604,1182026.919792423,2268096.0450061434,3329.863523313121,325732.2452614388,98.97772984659824,409.2257929892148,474.8149521321564,13.813625465755342,0.0102227015340176,1.0222701534017642,0.5211538207982817,0.0883957746537598,cold_start_20260830_174912,17,True
18,631.0,1469.0,237.0,58.0,62.0,0.1615583756877379,0,0.097305761400746,OPTIMAL,9.799,1543580.0,157217.0324952388,25019.6,5971.539196533224,0.0,178221.741243203,1203.7940989776455,1182527.2358261244,2268096.0450061434,2407.5881979552914,325732.2452614388,99.26086893975666,413.2444705279062,474.8149521321564,12.967258366184131,0.0073913106024333,0.7391310602433346,0.5213744093552799,0.0855974720057253,cold_start_20260830_174912,18,True
19,628.0,1487.0,230.0,60.0,61.0,0.1609312956483505,0,0.033672799912117,OPTIMAL,9.771999999999997,1530440.0,155878.6944713026,24761.8,5808.435123641853,0.0,178558.70558279383,925.8789497236314,1186070.6021199154,2268096.0450061434,1851.7578994472628,325732.2452614388,99.43150918388169,415.525792989215,474.8149521321564,12.486792776154887,0.0056849081611831,0.5684908161183144,0.522936674014042,0.0841254092632894,cold_start_20260830_174912,19,True
