thermal_case,source_run,source_solution_id,pv_kw,bsv_kwh,biomethane_storage_nm3,chp_kw,P_peak_grid_opt_kw,lcoe_T0_original_usd_kwh,recovery_fraction,thermal_demand_kwh_th,estimated_chp_el_energy_kwh,heat_generated_kwh_th,heat_recoverable_kwh_th,heat_useful_kwh_th,heat_utilization_ratio,heat_credit_usd_per_year,adjusted_annual_cost_usd,adjusted_lcoe_usd_kwh,lcoe_reduction_usd_kwh,lcoe_reduction_percent,dominated_by_h2,n_h2_dominators
T1,seed42,10,245.0,105.0,346.0,41.0,428.3578345096222,0.185306319655312,0.5,200000.0,89790.0,115444.28571428572,57722.14285714286,57722.14285714286,0.5,4617.771428571429,415674.75929628604,0.18327035145249335,0.00203596820281865,1.098704138426445,True,39
T2,seed42,10,245.0,105.0,346.0,41.0,428.3578345096222,0.185306319655312,0.8,400000.0,89790.0,115444.28571428572,92355.42857142858,92355.42857142858,0.8,7388.4342857142865,412904.0964391432,0.1820487705308021,0.003257549124509901,1.757926621482345,True,37
T0,seed42,11,231.0,97.0,249.0,38.0,430.2476001141024,0.1844669162026829,0.0,0.0,83220.0,106997.14285714287,0.0,0.0,0.0,0.0,418388.6830737848,0.18446691620268293,-2.7755575615628914e-17,-1.5046370474981264e-14,True,42
T1,seed42,11,231.0,97.0,249.0,38.0,430.2476001141024,0.1844669162026829,0.5,200000.0,83220.0,106997.14285714287,53498.571428571435,53498.571428571435,0.5,4279.885714285715,414108.7973594991,0.18257992128299727,0.0018869949196856362,1.0229449044468775,True,38
T2,seed42,11,231.0,97.0,249.0,38.0,430.2476001141024,0.1844669162026829,0.8,400000.0,83220.0,106997.14285714287,85597.7142857143,85597.7142857143,0.8,6847.817142857144,411540.8659309277,0.1814477243311859,0.003019191871497018,1.636711847115004,True,36
T0,seed42,12,252.0,113.0,315.0,32.0,436.2476001141032,0.1844436944185219,0.0,0.0,70080.0,90102.85714285714,0.0,0.0,0.0,0.0,418336.01383697125,0.18444369441852193,-2.7755575615628914e-17,-1.50482648393762e-14,True,44
T1,seed42,12,252.0,113.0,315.0,32.0,436.2476001141032,0.1844436944185219,0.5,200000.0,70080.0,90102.85714285714,45051.42857142857,45051.42857142857,0.5,3604.114285714286,414731.89955125697,0.18285464606510243,0.00158904835341947,0.8615357431595109,True,41
T2,seed42,12,252.0,113.0,315.0,32.0,436.2476001141032,0.1844436944185219,0.8,400000.0,70080.0,90102.85714285714,72082.28571428572,72082.28571428572,0.8,5766.582857142858,412569.4309798284,0.18190121705305073,0.0025424773654711685,1.3784571890552264,True,39
T0,seed42,13,240.0,70.0,168.0,29.0,439.24760011410217,0.1842310197452163,0.0,0.0,63510.0,81655.71428571429,0.0,0.0,0.0,0.0,417853.647251574,0.18423101974521638,-8.326672684688674e-17,-4.519690927295582e-14,True,45
T1,seed42,13,240.0,70.0,168.0,29.0,439.24760011410217,0.1842310197452163,0.5,200000.0,63510.0,81655.71428571429,40827.857142857145,40827.857142857145,0.5,3266.2285714285717,414587.4186801454,0.18279094467492996,0.0014400750702863452,0.7816680775462829,True,42
T2,seed42,13,240.0,70.0,168.0,29.0,439.24760011410217,0.1842310197452163,0.8,400000.0,63510.0,81655.71428571429,65324.571428571435,65324.571428571435,0.8,5225.965714285715,412627.68153728824,0.1819268996327581,0.0023041201124582023,1.2506689240740798,True,42
T0,seed42,14,251.0,113.0,300.0,29.0,439.2476001141031,0.1841112831778918,0.0,0.0,63510.0,81655.71428571429,0.0,0.0,0.0,0.0,417582.0732167826,0.18411128317789185,-5.551115123125783e-17,-3.015086868827148e-14,True,45
