b1_source_run,b1_source_solution_id,h2_global_solution_id,h2_source_run,h2_source_solution_id,n_h2_dominators,objective_distance,b1_lcoe_usd_kwh,h2_lcoe_usd_kwh,h2_lcoe_advantage_usd_kwh,h2_lcoe_advantage_percent,b1_peak_kw,h2_peak_kw,h2_peak_advantage_kw,h2_peak_advantage_percent,b1_pv_kw,h2_pv_kw,delta_pv_h2_minus_b1_kw,b1_bsv_kwh,h2_bsv_kwh,delta_bsv_h2_minus_b1_kwh,b1_capex_usd,h2_capex_usd,h2_capex_advantage_usd,h2_capex_advantage_percent,b1_E_grid_kwh,h2_E_grid_kwh,h2_grid_energy_advantage_kwh,h2_grid_energy_advantage_percent,b1_grid_dependency_ratio,h2_grid_dependency_ratio,h2_grid_dependency_advantage_pp,b1_chp_kw,b1_biomethane_storage_nm3,h2_fuelcell_kw,h2_electrolyzer_kw,h2_tank_kg,delta_dispatchable_electric_kw_h2_minus_b1
seed42,10,26,warm_start_20260831_030140,26,42,0.4193271531508724,0.185306319655312,0.1720445985024824,0.013261721152829586,7.156648071958741,428.3578345096222,389.4913761896632,38.86645831995901,9.0733623127152,245.0,740.0,495.0,105.0,1375.0,1270.0,494712.0,1830200.0,-1335488.0,-269.9526188974595,1759194.7947752173,1100978.0932851234,658216.701490094,37.41579405788307,0.775626234457127,0.485419519913735,29.020671454339197,41.0,346.0,79.0,317.0,85.0,38.0
seed42,11,35,cold_start_20260830_174912,11,42,0.42003803779748433,0.1844669162026829,0.1662783368718746,0.018188579330808308,9.860076649638149,430.2476001141024,403.2476001141024,27.0,6.275456270491585,231.0,683.0,452.0,97.0,1485.0,1388.0,450758.0,1697000.0,-1246242.0,-276.4769565931165,1771509.520806295,1129105.8245040884,642403.6963022067,36.26306766953301,0.7810557779097477,0.4978209926295383,28.32347852802094,38.0,249.0,65.0,278.0,78.0,27.0
seed42,12,35,cold_start_20260830_174912,11,44,0.44990678433732667,0.1844436944185219,0.1662783368718746,0.018165357546647304,9.848727875417753,436.2476001141032,403.2476001141024,33.000000000000796,7.564511527712575,252.0,683.0,431.0,113.0,1485.0,1372.0,461010.0,1697000.0,-1235990.0,-268.1048133446129,1764727.9411537703,1129105.8245040884,635622.1166496819,36.01813638390716,0.7780657900441736,0.4978209926295383,28.024479741463537,32.0,315.0,65.0,278.0,78.0,33.0
seed42,13,35,cold_start_20260830_174912,11,45,0.463333242614594,0.1842310197452163,0.1662783368718746,0.017952682873341702,9.744658037592965,439.24760011410217,403.2476001141024,35.99999999999977,8.19583305421547,240.0,683.0,443.0,70.0,1485.0,1415.0,403256.0,1697000.0,-1293744.0,-320.824488662289,1784026.2302164298,1129105.8245040884,654920.4057123414,36.710245321498974,0.7865743755183866,0.4978209926295383,28.875338288884834,29.0,168.0,65.0,278.0,78.0,36.0
seed42,14,35,cold_start_20260830_174912,11,45,0.46160837796864523,0.1841112831778918,0.1662783368718746,0.0178329463060172,9.685960576781527,439.2476001141031,403.2476001141024,36.00000000000068,8.19583305421566,251.0,683.0,432.0,113.0,1485.0,1372.0,445100.0,1697000.0,-1251900.0,-281.262637609526,1769946.825426872,1129105.8245040884,640841.0009227835,36.206793996097986,0.7803667879602858,0.4978209926295383,28.254579533074754,29.0,300.0,65.0,278.0,78.0,36.0
seed42,15,35,cold_start_20260830_174912,11,45,0.4642195022587269,0.1838903840195606,0.1662783368718746,0.017612047147685994,9.577470427062996,440.24760011410217,403.2476001141024,36.99999999999977,8.404361543461047,249.0,683.0,434.0,114.0,1485.0,1371.0,437216.0,1697000.0,-1259784.0,-288.13767108248555,1772328.008864056,1129105.8245040884,643222.1843599677,36.29250235526268,0.7814166480146811,0.4978209926295383,28.359565538514286,28.0,288.0,65.0,278.0,78.0,37.0
seed42,16,35,cold_start_20260830_174912,11,42,0.45990896920647095,0.1826997698082532,0.1662783368718746,0.0164214329363786,8.988206692111982,442.2476001141025,403.2476001141024,39.000000000000114,8.818589403297583,241.0,683.0,442.0,129.0,1485.0,1356.0,414314.0,1697000.0,-1282686.0,-309.5927243588196,1776689.3712353902,1129105.8245040884,647583.5467313018,36.4488895591814,0.783339565865068,0.4978209926295383,28.551857323552976,26.0,227.0,65.0,278.0,78.0,39.0
seed43,0,35,cold_start_20260830_174912,11,43,0.46264067781116025,0.1824317355828486,0.1662783368718746,0.016153398710973987,8.854489411815177,443.24760011410217,403.2476001141024,39.99999999999977,9.024301539298317,229.0,683.0,454.0,118.0,1485.0,1367.0,388120.0,1697000.0,-1308880.0,-337.2359064206946,1787853.8706342364,1129105.8245040884,658748.046130148,36.84574320922878,0.7882619761939551,0.4978209926295383,29.044098356441683,25.0,180.0,65.0,278.0,78.0,40.0
seed43,1,35,cold_start_20260830_174912,11,43,0.45697257600239183,0.1819924357681663,0.1662783368718746,0.01571409889629169,8.634479136434727,443.2476001141024,403.2476001141024,40.0,9.024301539298364,223.0,683.0,460.0,134.0,1485.0,1351.0,387422.0,1697000.0,-1309578.0,-338.0236537935378,1787570.2016043605,1129105.8245040884,658464.3771002721,36.83572127736826,0.7881369069622087,0.4978209926295383,29.031591433267046,25.0,191.0,65.0,278.0,78.0,40.0
seed43,2,35,cold_start_20260830_174912,11,42,0.45558559490572403,0.1818002142053701,0.1662783368718746,0.015521877333495498,8.537876262324563,443.4132164387021,403.2476001141024,40.16561632459968,9.058281268021748,208.0,683.0,475.0,135.0,1485.0,1350.0,373452.0,1697000.0,-1323548.0,-354.4091342394739,1799086.5322312769,1129105.8245040884,669980.7077271885,37.240049087369904,0.7932144391294522,0.4978209926295383,29.539344649991396,25.0,196.0,65.0,278.0,78.0,40.0
