hour_of_week,t_global,hour,demand_kw,pv_kw,p_grid_kw,p_pv_used_kw,p_pv_curtail_kw,p_bat_ch_kw,p_bat_dis_kw,p_elz_kw,p_fc_kw,soc_bat_kwh,h2_level_kg,p_unserved_kw,blackout_flag
58,4342.0,4342.0,123.03425318618524,614.1705200325033,0.0,506.6034114740281,102.5861166585432,0.0,0.0,374.0,0.0,92.53878128380273,34.7986751683451,-0.0,0.0
59,4343.0,4343.0,118.85148946454527,685.0182043764228,0.0,593.0367922680115,80.80527086703529,100.88496533478357,0.0,374.0,0.0,177.37700090596323,42.65346064689295,-0.0,0.0
60,4344.0,4344.0,122.16104797556055,708.6338719145654,0.0,667.72588163308,0.0,167.000689860431,0.0,374.0,0.0,363.1882490740054,50.508246125440806,-0.0,0.0
61,4345.0,4345.0,120.67600369351348,685.0182043764228,0.0,665.9551429112427,0.0,167.4963302467877,0.0,374.0,0.0,479.87287832361176,58.36303160398866,-0.0,0.0
62,4346.0,4346.0,119.53869932570805,614.1705200325034,0.0,577.7878950055585,0.0,73.67730801781235,0.0,374.0,0.0,547.8000000000001,66.21781708253651,-0.0,0.0
63,4347.0,4347.0,119.67627855518026,501.4681297131425,0.0,497.85216503445815,0.0,0.0,0.0,374.0,0.0,547.8000000000001,73.88523624055975,-0.0,0.0
64,4348.0,4348.0,258.5905410657465,354.5915150690982,0.0,354.5915150690982,0.0,0.0,0.0,97.53829071235478,0.0,547.8000000000001,75.94030262500615,-0.0,0.0
65,4349.0,4349.0,261.5209114704317,183.55007466328033,71.50213927395522,183.55007466328033,0.0,0.0,0.0,0.0,0.0,547.8000000000001,75.94030262500615,-0.0,0.0
66,4350.0,4350.0,257.92180368281333,8.684987278683632e-14,155.05716781470966,0.0,0.0,0.0,1.4596324149351858e-13,0.0,87.0,547.8,70.71978057280094,-0.0,0.0
67,4351.0,4351.0,340.019031664634,0.0,0.0,0.0,0.0,0.0,245.4985891834916,0.0,87.0,269.4496201247752,65.4992585205957,-0.0,0.0
68,4352.0,4352.0,334.6852267348225,0.0,73.67043701485034,0.0,0.0,0.0,172.66327836852886,0.0,87.0,82.17,60.27873646839049,-0.0,0.0
69,4353.0,4353.0,337.1979415888693,0.0,253.99561259322283,0.0,0.0,0.0,0.0,0.0,87.0,82.17,56.07609149384181,-0.0,0.0
