route,global_solution_id,source_run,source_solution_id,P_peak_grid_opt_kw,replay_peak_kw,lcoe_original_usd_kwh,replay_lcoe_usd_kwh,E_load_total_kwh,demand_charge_usd_kw_month,d1_annual_peak_charge_usd,d2_monthly_demand_charge_usd,d2_minus_d1_usd,d2_vs_d1_percent,d2_lcoe_increment_usd_kwh,lcoe_D2_usd_kwh,lcoe_D2_increase_percent,replay_valid,solve_time_sec,pv_kw,bsv_kwh,electrolyzer_kw,h2_tank_kg,fuelcell_kw,biomethane_storage_nm3,chp_kw,globally_nondominated_D2
H2,26,warm_start_20260831_030140,26,389.4913761896632,389.49137618966324,0.1720445985024824,0.1720445985024824,2268096.0450061434,30.0,140216.89542827877,139960.0602488106,-256.8351794681803,99.8168300769435,0.061708171731515674,0.2337527702339981,35.86754380471021,True,11.760999999999981,740.0,1375.0,317.0,85.0,79.0,,,True
H2,27,warm_start_20260831_030140,27,390.5644295673601,390.5644295673601,0.1711753558107001,0.17117535581070017,2268096.0450061434,30.0,140603.19464424963,140351.27032353205,-251.92432071757503,99.82082603360828,0.06188065564179047,0.23305601145249055,36.15044662750591,True,10.14699999999999,722.0,1377.0,315.0,82.0,78.0,,,True
H2,28,warm_start_20260831_030140,28,392.2476001141024,392.2476001141024,0.1704329653568099,0.17043296535680993,2268096.0450061434,30.0,141209.13604107685,140952.3652617512,-256.7707793256559,99.81816277152849,0.06214567746021946,0.23257864281702936,36.46341382966282,True,10.084,733.0,1449.0,304.0,84.0,76.0,,,True
H2,29,warm_start_20260831_030140,29,393.2476001141024,393.2476001141024,0.1696345910298315,0.16963459102983153,2268096.0450061434,30.0,141569.13604107685,141286.09279365395,-283.0432474229019,99.80006712244061,0.06229281740724135,0.23192740843707285,36.721765902266185,True,10.531999999999998,717.0,1462.0,302.0,83.0,75.0,,,True
H2,30,cold_start_20260830_174912,6,396.2476001141024,396.2476001141024,0.168111081056778,0.16811108105677808,2268096.0450061434,30.0,142649.13604107685,141179.30280474096,-1469.8332363358932,98.96961644694949,0.06224573386809929,0.23035681492487728,37.02655022905739,True,10.096999999999992,698.0,1445.0,298.0,64.0,72.0,,,True
H2,34,cold_start_20260830_174912,10,400.2476001141024,400.2476001141024,0.1664921591060872,0.16649215910608722,2268096.0450061434,30.0,144089.13604107685,143067.5411803923,-1021.5948606845632,99.29099799696674,0.06307825521560079,0.22957041432168798,37.886622141411436,True,10.125999999999989,668.0,1448.0,289.0,67.0,68.0,,,True
H2,35,cold_start_20260830_174912,11,403.2476001141024,403.2476001141024,0.1662783368718746,0.16627833687187463,2268096.0450061434,30.0,145169.13604107685,142018.59533198547,-3150.5407090913795,97.82974481008145,0.06261577663109977,0.22889411350297437,37.657206470226015,True,10.924999999999986,683.0,1485.0,278.0,78.0,65.0,,,True
H2,37,cold_start_20260830_174912,13,404.2476001141024,404.2476001141024,0.1651489040904277,0.1651489040904277,2268096.0450061434,30.0,145529.13604107685,144190.84803564296,-1338.2880054338893,99.08039857732945,0.06357351945175338,0.22872242354218109,38.49466625400284,True,21.685999999999975,674.0,1412.0,262.0,61.0,64.0,,,True
H2,40,cold_start_20260830_174912,16,407.2476001141024,407.2476001141024,0.1640030798212372,0.1640030798212372,2268096.0450061434,30.0,146609.13604107685,145067.423037757,-1541.7130033198628,98.94841955627656,0.06395999999963144,0.22796307982086866,38.99926761701525,True,13.936999999999989,637.0,1450.0,270.0,62.0,61.0,,,True
H2,41,cold_start_20260830_174912,17,409.2257929892148,409.2257929892148,0.1616318346458821,0.1616318346458821,2268096.0450061434,30.0,147321.28547611734,147321.28547611734,0.0,100.0,0.06495372442471602,0.22658555907059813,40.186219853918395,True,13.600999999999976,628.0,1462.0,240.0,58.0,60.0,,,True
