global_solution_id,solution_id,pv_kw,bsv_kwh,electrolyzer_kw,h2_tank_kg,fuelcell_kw,lcoe_usd_kwh,rank,crowding_distance,milp_status,solve_time_sec,capex_total_usd,annualized_capex_usd,fixed_opex_annual_usd,variable_h2_opex_annual_usd,degradation_opex_annual_usd,grid_opex_annual_usd,grid_peak_opex_annual_usd,E_grid_total_kwh,E_load_total_kwh,E_grid_peak_opt_kwh,E_grid_peak_ref_kwh,R_peak_percent,P_peak_grid_opt_kw,P_peak_grid_ref_kw,Peak_reduction_percent,peak_grid_dependency_ratio,peak_grid_dependency_percent,total_grid_dependency_ratio,grid_dependency_objective,source_run,source_solution_id,globally_nondominated,peak_normalized,lcoe_normalized,knee_distance,route,biomethane_storage_nm3,chp_kw,biomethane_fuel_opex_annual_usd,chp_variable_opex_annual_usd,variable_biomethane_opex_annual_usd,variable_dispatchable_opex_annual_usd,peak_norm,lcoe_norm,globally_dominated_cross_route
20,20,773.0,1272.0,369.0,94.0,88.0,0.1777144879755587,0,0.075154278276222,OPTIMAL,9.499000000000006,1961640.0,199797.3669158451,32082.8,9384.434829866905,0.0,161808.9255719445,2622.191239069519,1066489.2780306388,2268096.0450061434,5244.382478139038,325732.2452614388,98.38997134780752,380.2476001141024,474.8149521321564,19.91667524230215,0.0161002865219247,1.6100286521924776,0.4702134551924365,0.0866323048007902,warm_start_20260831_030140,20,True,0.2521739130434782,0.6838404521696819,0.0452446762563002,H2,,,,,,,,,False
21,21,771.0,1278.0,350.0,91.0,87.0,0.1763554961296084,0,0.0886561077164603,OPTIMAL,9.560999999999996,1919860.0,195541.9816312139,31272.2,8970.229083381735,0.0,164206.7925720655,2610.859536287934,1082527.9393110927,2268096.0450061434,5221.719072575868,325732.2452614388,98.3969290272798,381.9500064836302,474.8149521321564,19.558134222925418,0.0160307097272019,1.6030709727201922,0.4772848758740111,0.0876234411083035,warm_start_20260831_030140,21,True,0.2669774466915461,0.6576173666036588,0.0533195188555983,H2,,,,,,,,,False
22,22,741.0,1340.0,360.0,93.0,84.0,0.1753223458816753,0,0.0832901394272895,OPTIMAL,9.506000000000004,1920800.0,195637.72270750764,31540.0,9045.534901640083,0.0,161424.66168627917,1308.1815239150842,1070059.5641302571,2268096.0450061434,2616.3630478301684,325732.2452614388,99.19677493220536,384.2476001141024,474.8149521321564,19.07424178858761,0.0080322506779463,0.803225067794632,0.4717875887514979,0.078800388990671,warm_start_20260831_030140,22,True,0.2869565217391304,0.6376817154554628,0.0532888135218752,H2,,,,,,,,,False
23,23,739.0,1346.0,341.0,90.0,83.0,0.1739353559381551,0,0.0490118977464681,OPTIMAL,11.503999999999992,1879020.0,191382.3374228764,30729.4,8644.647243214804,0.0,163745.70822397424,1300.1096260112067,1085570.876571776,2268096.0450061434,2600.219252022413,325732.2452614388,99.2017310874656,385.2476001141024,474.8149521321564,18.86363342515897,0.0079826891253441,0.7982689125344127,0.4786265021545132,0.0797766644485211,warm_start_20260831_030140,23,True,0.2956521739130435,0.6109183790332995,0.0660645955741503,H2,,,,,,,,,False
24,24,740.0,1332.0,339.0,89.0,82.0,0.1739205686402528,0,0.0478217161087009,OPTIMAL,9.637999999999987,1871040.0,190569.5567964677,30552.8,8606.176286828551,0.0,164740.02079488066,1816.33052466364,1089790.5961841077,2268096.0450061434,3632.661049327279,325732.2452614388,98.88477081953872,386.2476001141024,474.8149521321564,18.65302506173033,0.0111522918046128,1.1152291804612828,0.480486969933919,0.0832253372947006,warm_start_20260831_030140,24,True,0.3043478260869565,0.610633043562496,0.060117603601455,H2,,,,,,,,,False
25,25,731.0,1369.0,331.0,82.0,81.0,0.1725858493832217,0,0.0704396361288836,OPTIMAL,9.701999999999996,1848680.0,188292.14140718203,30224.6,8397.376830828665,0.0,164527.1641721005,1027.3374340567664,1092053.5197884052,2268096.0450061434,2054.6748681135327,325732.2452614388,99.36921354947084,387.2476001141024,474.8149521321564,18.442416698301688,0.0063078645052914,0.6307864505291494,0.4814846894128979,0.0785305679172262,warm_start_20260831_030140,25,True,0.3130434782608696,0.5848783214955132,0.0721801876035799,H2,,,,,,,,,False
26,26,740.0,1375.0,317.0,85.0,79.0,0.1720445985024824,0,0.060465317546703,OPTIMAL,9.78300000000001,1830200.0,186409.91258813025,29721.0,8131.641406734561,0.0,165951.11943328544,1149.150629309937,1100978.0932851234,2268096.0450061434,2298.301258619874,325732.2452614388,99.2944200974714,389.4913761896632,474.8149521321564,17.969858691127495,0.0070557990252859,0.7055799025285981,0.485419519913735,0.0798687270123462,warm_start_20260831_030140,26,True,0.3325545745700938,0.5744343529017305,0.0657687601101068,H2,,,,,,,,,False
27,27,722.0,1377.0,315.0,82.0,78.0,0.1711753558107001,0,0.0602536811336776,OPTIMAL,9.767000000000008,1805540.0,183898.2371185513,29412.8,8016.791327261356,0.0,166914.31907095574,1236.1350951763748,1106993.4966955483,2268096.0450061434,2472.270190352749,325732.2452614388,99.24101152823587,390.5644295673601,474.8149521321564,17.743864675379196,0.0075898847176412,0.7589884717641201,0.4880717018721092,0.0808006399984575,warm_start_20260831_030140,27,True,0.3418854735065886,0.5576614594129481,0.0710310449235827,H2,,,,,,,,,False
28,28,733.0,1449.0,304.0,84.0,76.0,0.1704329653568099,0,0.0580156503067635,OPTIMAL,9.972999999999995,1808980.0,184248.60871690296,29333.6,7821.885881222468,0.0,165154.24006632422,218.50390214658304,1100008.5822321442,2268096.0450061434,437.007804293166,325732.2452614388,99.8658383348132,392.2476001141024,474.8149521321564,17.389374881158513,0.0013416166518682,0.1341616651868209,0.4849920640063391,0.074090426252819,warm_start_20260831_030140,28,True,0.3565217391304348,0.54333630473761,0.0708110562621912,H2,,,,,,,,,False
29,29,717.0,1462.0,302.0,83.0,75.0,0.1696345910298315,0,0.0736830734852692,OPTIMAL,14.592,1789940.0,182309.34266091016,29105.8,7715.684696707252,0.0,165616.71765337815,163.88601067642816,1103346.6496393643,2268096.0450061434,327.7720213528563,325732.2452614388,99.89937378748309,393.2476001141024,474.8149521321564,17.17876651772987,0.001006262125169,0.1006262125169033,0.4864638127070037,0.0739758340312195,warm_start_20260831_030140,29,True,0.3652173913043478,0.5279308861161086,0.0755555776174589,H2,,,,,,,,,False
