solution_id,pv_kw,bsv_kwh,electrolyzer_kw,h2_tank_kg,fuelcell_kw,lcoe_usd_kwh,rank,crowding_distance,milp_status,solve_time_sec,capex_total_usd,annualized_capex_usd,fixed_opex_annual_usd,variable_h2_opex_annual_usd,degradation_opex_annual_usd,grid_opex_annual_usd,grid_peak_opex_annual_usd,E_grid_total_kwh,E_load_total_kwh,E_grid_peak_opt_kwh,E_grid_peak_ref_kwh,R_peak_percent,P_peak_grid_opt_kw,P_peak_grid_ref_kw,Peak_reduction_percent,peak_grid_dependency_ratio,peak_grid_dependency_percent,total_grid_dependency_ratio,grid_dependency_objective,E_grid_peak_opt_kWh,E_grid_peak_ref_kWh,scenario,label
10,659.0,780.0,340.0,320.0,91.0,0.1777384408928731,0,0.095366589287132,OPTIMAL,11.905,1820900.0,152743.4563106796,29949.0,16468.95661182618,0.0,203966.4419121779,32278.031701125485,1236812.3491245175,2268096.0450061434,92222.9477175014,325732.2452614388,71.68749822619448,390.0919459714056,474.8149521321564,17.843373672270058,0.2831250177380552,28.31250177380552,0.5453086309319707,0.3921867439244493,92222.9477175014,325732.2452614388,tariff_035_with_h2,"0,35 USD/kWh | Com penalização"
11,632.0,874.0,334.0,368.0,85.0,0.1766600524147456,0,0.2044757873814422,OPTIMAL,11.481,1823580.0,152968.2640776699,30010.0,15899.169332477157,0.0,201804.5327823156,28931.455416533205,1235148.483628644,2268096.0450061434,82661.30119009488,325732.2452614388,74.62292960165814,391.05491140488886,474.8149521321564,17.640565098285787,0.2537707039834185,25.377070398341857,0.5445750352363489,0.3626857110306883,82661.30119009488,325732.2452614388,tariff_035_with_h2,"0,35 USD/kWh | Com penalização"
12,634.0,891.0,315.0,366.0,82.0,0.1753641122692669,0,0.4808072566411868,OPTIMAL,11.737000000000004,1786220.0,149834.37669902912,29234.5,15243.826647526294,0.0,203429.94612738228,29059.723078692045,1245495.9338827694,2268096.0450061434,83027.78022483442,325732.2452614388,74.51042031218162,393.91845139681374,474.8149521321564,17.03747962697404,0.2548957968781837,25.489579687818377,0.549137209874812,0.3647232388531461,83027.78022483442,325732.2452614388,tariff_035_with_h2,"0,35 USD/kWh | Com penalização"
13,635.0,885.0,237.0,371.0,50.0,0.17247483059034,0,0.6614571998429633,OPTIMAL,11.582,1591300.0,133483.8058252427,24873.5,11998.820925986089,0.0,220833.35437382595,41683.92707404448,1313426.4498291465,2268096.0450061434,119096.93449726996,325732.2452614388,63.4371677260013,406.4791496889529,474.8149521321564,14.392091516145744,0.365628322739987,36.5628322739987,0.5790876681439603,0.481445856368779,119096.93449726996,325732.2452614388,tariff_035_with_h2,"0,35 USD/kWh | Com penalização"
14,621.0,895.0,258.0,368.0,84.0,0.1718657837301331,0,0.3843437931660695,OPTIMAL,11.967,1663900.0,139573.74757281554,26936.5,12804.31825766796,0.0,210493.53851971257,28052.750703790716,1296422.6350693572,2268096.0450061434,80150.71629654488,325732.2452614388,75.393680710912,425.5255780835669,474.8149521321564,10.380754402795356,0.2460631928908801,24.60631928908801,0.5715907128023963,0.3603813354513593,80150.71629654488,325732.2452614388,tariff_035_with_h2,"0,35 USD/kWh | Com penalização"
15,647.0,840.0,237.0,345.0,83.0,0.1718237121218351,0,0.1505558811748572,OPTIMAL,12.277,1620700.0,135949.98058252427,25877.0,12091.248413489118,0.0,215794.452905795,31739.720740186476,1317716.4641712564,2268096.0450061434,90684.9164005328,325732.2452614388,72.15967478818457,431.1967193102608,474.8149521321564,9.186364630268685,0.2784032521181542,27.840325211815426,0.5809791287598173,0.3945990778701177,90684.9164005328,325732.2452614388,tariff_035_with_h2,"0,35 USD/kWh | Com penalização"
16,624.0,865.0,235.0,345.0,83.0,0.1706961807532266,0,0.1561918138452819,OPTIMAL,12.362000000000004,1599200.0,134146.4854368932,25704.5,11831.744559561892,0.0,215472.602467592,30238.029814552032,1321291.5219189867,2268096.0450061434,86394.3708987201,325732.2452614388,73.47687490092412,435.20109437895474,474.8149521321564,8.343009750496622,0.2652312509907589,26.52312509907589,0.5825553661310704,0.3817423242169729,86394.3708987201,325732.2452614388,tariff_035_with_h2,"0,35 USD/kWh | Com penalização"
17,612.0,910.0,235.0,371.0,82.0,0.1703274693660599,0,inf,OPTIMAL,11.869000000000002,1611400.0,135169.8640776699,25949.0,11745.125909810013,0.0,213455.0696375857,27918.236148410044,1316678.6122566287,2268096.0450061434,79766.38899545727,325732.2452614388,75.51166942915484,435.5790291974036,474.8149521321564,8.263413516900409,0.2448833057084516,24.488330570845164,0.5805215414733736,0.3609876140031264,79766.38899545727,325732.2452614388,tariff_035_with_h2,"0,35 USD/kWh | Com penalização"
0,832.0,775.0,356.0,430.0,93.0,0.2030877799486245,0,inf,OPTIMAL,13.077000000000002,2093400.0,175601.70873786407,33029.5,18719.080699358383,0.0,233272.3010533307,99640.69727577324,1175565.065019259,2268096.0450061434,284687.7065022093,325732.2452614388,12.600698689282774,364.0315420313464,474.8149521321564,23.331912696375117,0.8739930131071723,87.39930131071722,0.5183047991321174,0.9776539729335958,284687.7065022093,325732.2452614388,tariff_035_with_h2_no_penalty,"0,35 USD/kWh | Sem penalização"
1,830.0,777.0,352.0,440.0,91.0,0.2027189080163525,0,0.1168002090412678,OPTIMAL,13.498,2087240.0,175084.986407767,32842.5,18530.17108804235,0.0,233328.296024044,98782.22882572724,1179208.7208241895,2268096.0450061434,282234.9395020778,325732.2452614388,13.35369966963179,365.4791496889529,474.8149521321564,23.02703441671985,0.8664630033036821,86.6463003303682,0.5199112812795348,0.970445259559589,282234.9395020778,325732.2452614388,tariff_035_with_h2_no_penalty,"0,35 USD/kWh | Sem penalização"
2,804.0,784.0,352.0,422.0,93.0,0.202711841762613,0,0.2158884030230235,OPTIMAL,15.393000000000004,2054580.0,172345.3514563107,32591.0,18319.947126349485,0.0,236513.6279950337,102903.1273414235,1184745.606285278,2268096.0450061434,294008.93526121,325732.2452614388,9.73907571685666,366.2494872164836,474.8149521321564,22.864794890758944,0.9026092428314334,90.26092428314334,0.5223524854222251,1.0070797399158784,294008.93526121,325732.2452614388,tariff_035_with_h2_no_penalty,"0,35 USD/kWh | Sem penalização"
3,792.0,795.0,355.0,399.0,90.0,0.200969277266972,0,0.3202528208387322,OPTIMAL,13.187999999999995,2033300.0,170560.31067961163,32396.5,18351.31457819433,0.0,234509.4976791563,99842.25371959298,1183045.208453069,2268096.0450061434,285263.58205598,325732.2452614388,12.423904539440931,366.4791496889529,474.8149521321564,22.816426053291217,0.8757609546055907,87.57609546055906,0.5216027826766324,0.9800815111409172,285263.58205598,325732.2452614388,tariff_035_with_h2_no_penalty,"0,35 USD/kWh | Sem penalização"
4,802.0,789.0,357.0,351.0,90.0,0.1998777367293885,0,0.1547846191436362,OPTIMAL,15.13,2017180.0,169208.10873786407,32255.5,18513.423461512517,0.0,233364.87196132884,98630.20217748333,1180031.7095422558,2268096.0450061434,281800.5776499524,325732.2452614388,13.487049025872777,367.0315420313464,474.8149521321564,22.70008760608919,0.8651295097412722,86.51295097412722,0.5202741357185602,0.9691843368849844,281800.5776499524,325732.2452614388,tariff_035_with_h2_no_penalty,"0,35 USD/kWh | Sem penalização"
5,806.0,800.0,356.0,343.0,90.0,0.1997303089097679,0,0.1184006608756523,OPTIMAL,12.955000000000002,2016800.0,169176.23300970873,32268.0,18501.212573306075,0.0,233062.0781230852,98611.45386122692,1178084.5061111324,2268096.0450061434,281747.0110320769,325732.2452614388,13.503494010566408,367.2415384694053,474.8149521321564,22.655860599943768,0.8649650598943359,86.49650598943359,0.5194156167702949,0.968848183248395,281747.0110320769,325732.2452614388,tariff_035_with_h2_no_penalty,"0,35 USD/kWh | Sem penalização"
