thermal_case,source_run,source_solution_id,pv_kw,bsv_kwh,biomethane_storage_nm3,chp_kw,P_peak_grid_opt_kw,base_lcoe_usd_kwh,recomputed_lcoe_usd_kwh,lcoe_audit_error,chp_electric_energy_kwh,chp_capacity_factor,heat_available_kwh_th,thermal_demand_kwh_th,heat_useful_kwh_th,heat_dumped_kwh_th,heat_utilization_ratio,thermal_demand_coverage_ratio,heat_credit_usd_per_year,adjusted_lcoe_usd_kwh,lcoe_reduction_usd_kwh,lcoe_reduction_percent,dominated_by_h2,n_h2_dominators,solver_status,solve_time_sec
TMAX,seed43,3,208.0,136.0,196.0,25.0,443.888325495238,0.1817663688987137,0.1817663688987137,2.775557561562892e-17,28628.00334873591,0.1307214764782461,33461.3026154056,0.0,33461.3026154056,0.0,1.0,0.0,2676.904209232448,0.18058612601829133,0.001180242880422372,0.6493186212461793,True,41,OPTIMAL,9.09199999999998
TMAX,seed43,4,207.0,137.0,196.0,25.0,444.4525024531778,0.1817269387936106,0.1817269387936106,5.551115123125783e-17,28545.09179799279,0.1303428849223415,33364.39301064092,0.0,33364.39301064092,0.0,1.0,0.0,2669.1514408512735,0.1805501140966458,0.0011768246969648122,0.6475785619771792,True,41,OPTIMAL,7.340999999999994
TMAX,seed43,5,207.0,138.0,196.0,25.0,445.0569792098141,0.1816927970705297,0.1816927970705297,2.775557561562892e-17,28458.139492674574,0.129945842432304,33262.760445983266,0.0,33262.760445983266,0.0,1.0,0.0,2661.020835678661,0.18051955714467302,0.0011732399258566895,0.6457272631458582,True,41,OPTIMAL,10.390999999999984
TMAX,seed42,17,249.0,230.0,274.0,23.0,445.2476001141024,0.1798323053306534,0.1798323053306534,8.326672684688674e-17,26956.735996246756,0.1337936072873077,31507.87324236634,0.0,31507.87324236634,0.0,1.0,0.0,2520.629859389307,0.17872096356673675,0.00111134176391664,0.6179878314261958,True,38,OPTIMAL,10.775999999999994
TMAX,seed43,8,242.0,255.0,250.0,21.0,447.9349765967564,0.1786353756972715,0.1786353756972715,2.775557561562892e-17,23803.78500397388,0.1293965264403885,27822.605848800635,0.0,27822.605848800635,0.0,1.0,0.0,2225.8084679040508,0.17765402022389773,0.000981355473373774,0.549362336291581,True,36,OPTIMAL,11.280999999999992
TMAX,seed43,9,212.0,253.0,275.0,20.0,448.24760011410257,0.1785389203925819,0.1785389203925819,5.551115123125783e-17,22643.173369786626,0.1292418571334853,26466.046795854498,0.0,26466.046795854498,0.0,1.0,0.0,2117.28374366836,0.17760541330044166,0.00093350709214024,0.5228591559126657,True,36,OPTIMAL,11.676999999999984
TMAX,seed43,10,206.0,290.0,232.0,20.0,448.6937270185009,0.1770125942932474,0.1770125942932474,2.775557561562892e-17,22562.90519185285,0.12878370543295,26372.22684762021,0.0,26372.22684762021,0.0,1.0,0.0,2109.778147809617,0.17608239640658602,0.0009301978866613769,0.5254981377880759,True,35,OPTIMAL,11.736999999999991
TMAX,seed43,11,206.0,291.0,217.0,19.0,449.2476001141023,0.176811587805854,0.176811587805854,0.0,21445.141584504323,0.1288460801760654,25065.74990396609,0.0,25065.74990396609,0.0,1.0,0.0,2005.2599923172872,0.1759274718105316,0.0008841159953223987,0.5000328351177936,True,35,OPTIMAL,10.777999999999984
TMAX,seed43,12,206.0,313.0,212.0,18.0,451.6051142380329,0.1760417945530227,0.1760417945530227,2.775557561562892e-17,20365.465899649007,0.1291569374660642,23803.79131127806,0.0,23803.79131127806,0.0,1.0,0.0,1904.3033049022447,0.17520219020333247,0.0008396043496902428,0.47693466873706464,True,34,OPTIMAL,12.431999999999997
TMAX,seed43,13,206.0,323.0,208.0,18.0,457.263901370698,0.1756872637582665,0.1756872637582665,2.775557561562892e-17,20066.746522573834,0.1272624716043495,23454.638792618767,0.0,23454.638792618767,0.0,1.0,0.0,1876.3711034095013,0.1748599746725415,0.0008272890857249915,0.4708873415339225,True,35,OPTIMAL,12.289999999999983
TMAX,seed43,14,242.0,575.0,191.0,21.0,457.8096680508502,0.1682453963728939,0.1682453963728939,8.326672684688674e-17,23302.23065070293,0.1266700948613988,27236.373487834608,0.0,27236.373487834608,0.0,1.0,0.0,2178.9098790267685,0.16728471841402862,0.0009606779588652858,0.570998065668358,True,25,OPTIMAL,16.43499999999999
TMAX,seed43,15,266.0,619.0,187.0,22.0,461.13987986295103,0.167261545367826,0.167261545367826,2.775557561562892e-17,24380.995841153017,0.1265099410603622,28497.267866282746,0.0,28497.267866282746,0.0,1.0,0.0,2279.78142930262,0.16625639330016012,0.001005152067665882,0.600946299674229,True,23,OPTIMAL,12.575999999999986
TMAX,seed42,23,232.0,647.0,182.0,28.0,462.5668151816717,0.166196214672857,0.166196214672857,2.775557561562892e-17,30942.77017705646,0.1261528464491864,36166.87423292313,0.0,36166.87423292313,0.0,1.0,0.0,2893.349938633851,0.16492054120876162,0.0012756734640953782,0.767570709481219,True,21,OPTIMAL,12.669999999999996
